finding_id,area,status,severity,file,evidence,required_action
R3-001,runner_spec_import,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner imports openvla_libero_exec_spec helpers including official_prompt get_libero_image_official and gripper semantic helpers.","No action required."
R3-002,prompt_style,PASS,info,scripts/run_stageb_vis_labeling.py,"PROMPT_STYLE is official_in_out and make_inputs calls official_prompt.","No action required."
R3-003,image_preprocess_style,PASS,info,scripts/run_stageb_vis_labeling.py,"image_preprocess_style is recorded and official path calls get_libero_image_official(obs).","No action required before smoke."
R3-004,trace_schema,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner writes raw_action_0..6 env_action_0..6 pair_id task/window fields decoded_open_bool open_convention git_commit exec_spec_version prompt_style image_preprocess_style and unnorm_key.","No action required."
R3-005,runner_pair_id_cli,PASS,info,scripts/run_stageb_vis_labeling.py,"Runner accepts --pair_id and falls back to uuid only when not supplied.","Use worker generator or explicit CLI to provide pair_id for paired jobs."
R3-006,worker_pair_id_orchestration,PASS_AFTER_CODEX_PATCH,high,scripts/generate_stageb_worker_scripts.py,"VIS and matched random commands now both pass --pair_id stageb_pair_<vis_job_id>.","Sync this patch before generating smoke worker scripts."
R3-007,diagnostic_worker_pair_id_orchestration,PASS_AFTER_CODEX_PATCH,high,scripts/diagnostics/generate_stageb_worker_scripts.py,"Diagnostic worker generator now also passes shared --pair_id to VIS and random commands.","Sync this patch before generating any diagnostic worker scripts."
R3-008,postprocess_trace_version_gate,PASS,high,scripts/stageb/postprocess_traces_v1_1.py,"Requires trace_version corrected_stageb_v1_1 and exits non-zero if old-format traces are present.","No action required."
R3-009,postprocess_no_filename_metadata,PASS,high,scripts/stageb/postprocess_traces_v1_1.py,"Reads pair_id condition task_key state_id seed window_start and window_end from trace rows rather than filename.","No action required."
R3-010,postprocess_shifted_qpos,PASS,high,scripts/stageb/postprocess_traces_v1_1.py,"Shifted qpos uses step_dict[s+1] and abs(q0)+abs(q1).","No action required."
R3-011,label_builder_version_gate,PASS,high,scripts/stageb/build_pair_labels_v1_1.py,"Rejects any qpos row whose trace_version is not corrected_stageb_v1_1.","No action required."
R3-012,label_builder_pairing_key,PASS,high,scripts/stageb/build_pair_labels_v1_1.py,"Pairs by pair_id task_key state_id seed window_start and window_end.","No action required."
R3-013,label_builder_duplicate_unpaired_gate,PASS_AFTER_CODEX_PATCH,high,scripts/stageb/build_pair_labels_v1_1.py,"Now exits non-zero on duplicate condition rows or unpaired VIS/RAND rows.","No action required."
R3-014,token_region_audit,PASS,info,src/gripper_attack/attack_adapter.py,"OPEN tokens are decoded_action >= 0.5 and env_gripper_is_open; tests cover saturation tokens.","No action required."
R3-015,random_metadata,PASS_WITH_WARNING,warning,scripts/run_stageb_vis_labeling.py,"Random seed perturbation_space random_noise_linf random_noise_l2 and epsilon metadata are recorded; explicit torch generator seeding is not yet audited.","Use explicit torch generator seeding if deterministic replay is required."
R3-016,tests,PASS,info,tests/stageb,"Selected v1.1 tests passed 23/23 after adding worker generator pair_id regression check.","No action required."
R3-017,synthetic_postprocess_label_smoke,PASS,info,scripts/stageb,"Synthetic valid pair produced one label row; old trace duplicate pair and unpaired pair returned non-zero.","No action required."
R3-018,scientific_claim_boundary,PASS,info,reports/CODEX_STAGEB_V1_1_READINESS_AUDIT_R3.md,"Audit supports code readiness for small smoke only; no Stage-B VIS scientific result is claimed.","Run 3-row smoke and inspect outputs before full batch."
