trace_id,task_key,state_id,seed,provenance_pass,field_validity_pass,open_convention_pass,remap_pass,grasp_privilege_valid,teacher_p_available,teacher_p_step,teacher_r_step,n_close_candidates,category,failure_detail
trace_alphabet_soup_s2_w0_10_s20d_clean_seed0_job250016,alphabet_soup,2,0,True,True,True,True,True,True,55,55,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,0,True,True,True,True,True,True,85,52,7,ELIGIBLE_MULTI_CANDIDATE,
trace_bbq_sauce_s2_w0_10_s20d_clean_seed0_job250002,bbq_sauce,2,0,True,True,True,True,True,False,-1,49,29,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_bbq_sauce_s3_w0_10_s20d_clean_seed0_job250003,bbq_sauce,3,0,True,True,True,True,True,False,-1,64,25,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_butter_s1_w0_10_s20d_clean_seed0_job250004,butter,1,0,True,True,True,True,True,True,72,6,9,ELIGIBLE_MULTI_CANDIDATE,
trace_butter_s2_w0_10_s20d_clean_seed0_job250005,butter,2,0,True,True,True,True,True,True,68,4,6,ELIGIBLE_MULTI_CANDIDATE,
trace_chocolate_pudding_s1_w0_10_s20d_clean_seed0_job250006,chocolate_pudding,1,0,True,True,True,True,True,False,-1,12,3,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_chocolate_pudding_s2_w0_10_s20d_clean_seed0_job250007,chocolate_pudding,2,0,True,True,True,True,True,True,58,58,3,ELIGIBLE_MULTI_CANDIDATE,
trace_cream_cheese_s2_w0_10_s20d_clean_seed0_job250013,cream_cheese,2,0,True,True,True,True,True,True,63,59,4,ELIGIBLE_MULTI_CANDIDATE,
trace_ketchup_s2_w0_10_s20d_clean_seed0_job250008,ketchup,2,0,True,True,True,True,True,True,56,0,1,ELIGIBLE_SINGLE_CANDIDATE,
trace_ketchup_s3_w0_10_s20d_clean_seed0_job250009,ketchup,3,0,True,True,True,True,True,True,55,55,3,ELIGIBLE_MULTI_CANDIDATE,
trace_milk_s2_w0_10_s20d_clean_seed0_job250012,milk,2,0,True,True,True,True,True,False,-1,0,6,TEACHER_P_UNAVAILABLE,no_close_satisfies_teacher_p
trace_orange_juice_s2_w0_10_s20d_clean_seed0_job250015,orange_juice,2,0,True,True,True,True,True,True,58,8,4,ELIGIBLE_MULTI_CANDIDATE,
