finding_id,area,status,severity,scope,evidence,required_action
SNAP-001,core_sha_verification,PASS,high,server_sha_table,"16/16 rows in stageb_v1_1_rc1_server_file_sha.csv matched live server file SHA256.","No action required for the 16 core files."
SNAP-002,manifest_count,PASS,info,manifest,"RC1 manifest has 39 rows in the audited commit.","No action required."
SNAP-003,diagnostic_worker_manifest,PASS,medium,manifest,"scripts/diagnostics/generate_stageb_worker_scripts.py is now included in the RC1 manifest.","No action required."
SNAP-004,previous_missing_files,PARTIAL,medium,server_manifest_paths,"5 of the 8 previously missing manifest files were present, but 3 manifest paths were still missing on server.","Sync remaining missing files or remove them from server snapshot scope."
SNAP-005,missing_manifest_paths,PARTIAL_FAIL,medium,server_manifest_paths,"Missing: tests/stageb/test_stageb_open_count_convention.py; reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md; reports/CODEX_STAGEB_V1_1_SMOKE_R3_LIVE_AUDIT.md.","Sync these files before claiming full manifest presence."
SNAP-006,server_tests,PASS,high,server_tests,"PYTHONPATH=src /home/liuyu/.conda/envs/openvla_official_libero_20260525/bin/python -m pytest tests/stageb -q returned 39 passed in 0.20s.","No action required."
SNAP-007,server_py_compile,PASS,high,server_py_compile,"Official env py_compile passed for spec runner postprocess label_builder validator and both worker generators.","No action required."
SNAP-008,runner_trace_version,PASS,high,scripts/run_stageb_vis_labeling.py,"Server runner contains TRACE_VERSION = corrected_stageb_v1_1.","No action required."
SNAP-009,runner_open_semantics,PASS,high,scripts/run_stageb_vis_labeling.py,"Server runner contains official_in_out official_rot180_only obs_robot0_gripper_qpos decoded_open_bool and env_gripper_is_open.","No action required."
SNAP-010,source_snapshot_report_docs,PASS,medium,reports,"Freeze and server snapshot verify reports record source_snapshot_id = 4fe01c43.","No action required for docs."
SNAP-011,source_snapshot_trace_field,WARNING,medium,scripts/run_stageb_vis_labeling.py,"Runner trace schema does not include source_snapshot_id, so future traces will not literally record the full provenance contract.","Add source_snapshot_id to trace rows if trace-level contract requires it."
SNAP-012,server_git_status,PARTIAL_FAIL,high,server_git_worktree,"Live server git status --short reported 27 lines, despite server verify report claiming git_dirty=0 clean snapshot.","Use core_file_sha_verified rather than git_dirty=0 unless the worktree is made truly clean."
SNAP-013,file_sha_replaces_manual_upload,PARTIAL,high,server_snapshot,"File SHA replaces dirty/manual upload provenance for the 16 hashed core files only, not for all 39 manifest entries.","Expand SHA table to all manifest files or scope snapshot as core-runtime only."
SNAP-014,official_env_path,PASS,info,server_runtime,"Verification used /home/liuyu/.conda/envs/openvla_official_libero_20260525/bin/python, the env path present on server.","No action required."
