claim,status,evidence,allowed_wording,forbidden_wording
strict_true_pgd_route,PASS,"route audit shows strict_route=True, fallback_used=False, TokenPrefixPGDAttacker, num_backwards=20, adv_inputs_present=True","The fixed-frame TRUE_PGD condition executed through the strict true-PGD route.","Do not claim closed-loop or task effect from route evidence."
step78_input_reproduction,PASS,"clean gripper token 31872; score31744=41.0; score31872=41.25; margin=-0.25","The preregistered Tomato step78 input was reproduced as the expected near-boundary close frame.","Do not treat video frames as source input."
surrogate_official_preflight,PASS,"CLEAN and PGD_DELTA0 both classified SURROGATE_OFFICIAL_SCORE_PATH_MATCH after cached surrogate fix","Cached surrogate score path matched official default generate for zero-step inputs.","Do not use the no-cache full-context surrogate for M3 target-token claims."
optimization_gate,PASS,"surrogate margin improved from -0.5 at PGD_DELTA0 to 5.75 at TRUE_PGD_FINAL","TRUE_PGD optimized the preregistered 31744 surrogate margin on this frame.","Do not claim random superiority from this alone."
official_transfer_gate,PASS,"official margin improved from -0.5 to 5.75 and emitted token changed 31872 to 31744","This seed produced a fixed-frame official token flip to 31744.","Do not claim closed-loop critical-closure disruption."
rand20_superiority,FAIL,"RAND20 best also reached official margin 5.75 and emitted 31744","TRUE_PGD was not better than matched 20-candidate random search on this canary.","Do not write VIS > random for this result."
shuffled_grad_superiority,PASS_WITH_SELECTIVITY_CAVEAT,"TRUE_PGD official margin 5.75 exceeded SHUFFLED_GRAD_PGD20 margin 5.0; SHUFFLED_GRAD_PGD20 emitted 31744 but arm gate was 4/6","TRUE_PGD exceeded this single shuffled-gradient PGD20 trajectory on official margin, but the stronger RAND20 control was not beaten.","Do not use shuffled-gradient alone to pass the random superiority gate."
arm_selectivity,PASS_FOR_TRUE_PGD,"TRUE_PGD actual generated arm prefix match 6/6","TRUE_PGD preserved the actual clean generated arm prefix on this frame.","Do not generalize arm selectivity beyond this single frame."
rand20_arm_selectivity,FAIL_POST_HOC,"RAND20 selected best official tokens had arm prefix [31900,31870,31915,31882,31891,31834], matching clean arm prefix 4/6","The selected RAND20 best was arm-nonselective relative to TRUE_PGD on this post-hoc audit.","Do not remove RAND20 from the preregistered primary comparison because this selectivity observation was computed after the canary."
rand20_candidate_distribution,RECORDED,"20 surrogate candidates; margin > 0: 12/20; margin >= 5: 2/20; best 5.75; second-best 5.5; median 0.25; selected id 0 seed 94127280","RAND20 surrogate candidate distribution is recorded for audit context.","Do not call this an official flip-rate distribution because only the selected candidate was officially decoded in the canary."
cw_v1_saturation,RECORDED,"TRUE_PGD and RAND20 selected best both reached target margin 5.75, exceeding the v1 hinge margin 5.0","Both TRUE_PGD and RAND20 entered the v1 zero-loss margin set; the preregistered gate still treats the terminal tie as RANDOM_NOT_BEATEN.","Do not use hinge saturation to reinterpret the v1 result as TRUE_PGD superiority."
result_class,RANDOM_NOT_BEATEN,"official transfer passed but RAND20 was tied on target margin and token","The canary stops at RANDOM_NOT_BEATEN; no fixed-frame panel or rollout is authorized from this result.","Do not continue to multi-frame, full-window, rescue, or held-out stages from this seed/config."
