blinded_video_id,manual_audit_id,label,stable_grasp_maintained,premature_aperture,slip_or_contact_loss,premature_release_or_drop,object_displacement_consistent_with_loss,reviewer_confidence,blinded_note
W-0010d09cf1f8adf0,MA-R1-0010d09cf1f8adf0,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-06bab872baf54240,MA-R1-06bab872baf54240,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0ca882f863e77fbe,MA-R1-0ca882f863e77fbe,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0f738a096afa407d,MA-R1-0f738a096afa407d,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-0f85a3a326f1b25c,MA-R1-0f85a3a326f1b25c,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-14c501256f49728c,MA-R1-14c501256f49728c,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-1b43101fae6a23b7,MA-R1-1b43101fae6a23b7,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-1f70e1942bb27900,MA-R1-1f70e1942bb27900,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2088b047929e25b2,MA-R1-2088b047929e25b2,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-20bfc2b4e0758e26,MA-R1-20bfc2b4e0758e26,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-21833cf64a1c3798,MA-R1-21833cf64a1c3798,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2399b1a156e015bf,MA-R1-2399b1a156e015bf,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-244136799105b2bf,MA-R1-244136799105b2bf,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-257bdeedad6ff42a,MA-R1-257bdeedad6ff42a,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2935871a3efce738,MA-R1-2935871a3efce738,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-2a1d35a4bd92a6c8,MA-R1-2a1d35a4bd92a6c8,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-317f0342a16fd327,MA-R1-317f0342a16fd327,STABLE_GRASP,True,False,False,False,False,HIGH,"Object remains visibly supported/held through the clip; no visible premature aperture, contact loss, release/drop, or loss-consistent displacement."
W-3692f941cc8581ba,MA-R1-3692f941cc8581ba,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-3d1276515f5afec1,MA-R1-3d1276515f5afec1,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-3d3a53ad2bd74f86,MA-R1-3d3a53ad2bd74f86,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-40950ac1f5130ac4,MA-R1-40950ac1f5130ac4,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-413779c40f5f393a,MA-R1-413779c40f5f393a,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-435b9f1bbb266f6d,MA-R1-435b9f1bbb266f6d,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-43c51453ff5ec2c6,MA-R1-43c51453ff5ec2c6,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-460797a912224304,MA-R1-460797a912224304,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-470c4a1b0f7f9cfd,MA-R1-470c4a1b0f7f9cfd,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4a3206df2c12c559,MA-R1-4a3206df2c12c559,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4c0033b5db953dc0,MA-R1-4c0033b5db953dc0,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-4dd83f3891a538aa,MA-R1-4dd83f3891a538aa,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-52530073d9ef92e6,MA-R1-52530073d9ef92e6,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-528590f0b70cd22b,MA-R1-528590f0b70cd22b,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-53832919b68a3026,MA-R1-53832919b68a3026,AMBIGUOUS_OR_OCCLUDED,False,False,False,False,False,LOW,Target-like object becomes partially occluded near the receptacle/end-effector; the clip does not resolve stable grasp versus intended placement versus loss.
W-559865c66d70e7a3,MA-R1-559865c66d70e7a3,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-583e4a17e92b3763,MA-R1-583e4a17e92b3763,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-586cb78e4118463b,MA-R1-586cb78e4118463b,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5a608a3745847100,MA-R1-5a608a3745847100,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5b84f6c7f01c2f70,MA-R1-5b84f6c7f01c2f70,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5bad41d8088395e1,MA-R1-5bad41d8088395e1,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-5f5ff37d9d09df8b,MA-R1-5f5ff37d9d09df8b,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-625798efa70105e2,MA-R1-625798efa70105e2,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-631bf01ff37e8c80,MA-R1-631bf01ff37e8c80,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-63aceec6571d27cb,MA-R1-63aceec6571d27cb,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-651fabb62fb40bc1,MA-R1-651fabb62fb40bc1,NOT_IDENTIFIABLE,False,False,False,False,False,LOW,No visually judgeable prior stable grasp and subsequent loss/release event can be established from this neutral 2 s clip.
W-65ceb79cb28345ce,MA-R1-65ceb79cb28345ce,OBJECT_DISPLACEMENT,False,False,False,False,True,MEDIUM,"A clearly visible object changes pose/location substantially and comes to rest on the work surface; displacement is visually consistent with loss of support, although prior grasp state is not fully visible."
