suite,task_idx,state_id,condition,selection_role,mechanism_type,eligible_for_gripper_duty,primary_object,primary_target,secondary_objects,resolver_status,resolver_source,requires_clean_success_gate,requires_invalid_feature_steps_zero,attack_allowed_in_phase1,instruction
libero_spatial,0,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,0,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl between the plate and the ramekin and place it on the plate
libero_spatial,1,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,1,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl next to the ramekin and place it on the plate
libero_spatial,2,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl from table center and place it on the plate
libero_spatial,2,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,black_bowl,plate,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the black bowl from table center and place it on the plate
libero_goal,1,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,bowl,stove,,RESOLVED,static_instruction_heuristic,true,true,false,put the bowl on the stove
libero_goal,1,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,bowl,stove,,RESOLVED,static_instruction_heuristic,true,true,false,put the bowl on the stove
libero_goal,6,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,cream_cheese,bowl,,RESOLVED,static_instruction_heuristic,true,true,false,put the cream cheese in the bowl
libero_goal,6,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,cream_cheese,bowl,,RESOLVED,static_instruction_heuristic,true,true,false,put the cream cheese in the bowl
libero_goal,0,0,CLEAN,mechanism_coverage_preregistered,articulated_object,false,,,,ABSTAIN_UNSUPPORTED,static_instruction_heuristic,true,true,false,open the middle drawer of the cabinet
libero_goal,0,1,CLEAN,mechanism_coverage_preregistered,articulated_object,false,,,,ABSTAIN_UNSUPPORTED,static_instruction_heuristic,true,true,false,open the middle drawer of the cabinet
libero_10,5,0,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,book,caddy,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the book and place it in the back compartment of the caddy
libero_10,5,1,CLEAN,mechanism_coverage_preregistered,single_object_pick_place,true,book,caddy,,RESOLVED,static_instruction_heuristic,true,true,false,pick up the book and place it in the back compartment of the caddy
libero_10,0,0,CLEAN,mechanism_coverage_preregistered,multi_object_transfer,event_level_audit_only,alphabet_soup,basket,tomato_sauce,EVENT_LEVEL_ONLY,static_instruction_heuristic,true,true,false,put both the alphabet soup and the tomato sauce in the basket
libero_10,0,1,CLEAN,mechanism_coverage_preregistered,multi_object_transfer,event_level_audit_only,alphabet_soup,basket,tomato_sauce,EVENT_LEVEL_ONLY,static_instruction_heuristic,true,true,false,put both the alphabet soup and the tomato sauce in the basket
libero_10,2,0,CLEAN,mechanism_coverage_preregistered,articulated_object,false,,,,ABSTAIN_UNSUPPORTED,static_instruction_heuristic,true,true,false,turn on the stove and put the moka pot on it
libero_10,2,1,CLEAN,mechanism_coverage_preregistered,articulated_object,false,,,,ABSTAIN_UNSUPPORTED,static_instruction_heuristic,true,true,false,turn on the stove and put the moka pot on it
