episode_id,task,state,source,teacher_valid,corridor_start,corridor_end,V1_armed,V1_emitted,V1_emit_step,V1_emit_before,V1_emit_inside,V1_emit_after,V2_armed,V2_emitted,V2_emit_step,V2_emit_before,V2_emit_inside,V2_emit_after
ep_0280,0,23,primary,True,74,84,True,True,74,False,True,False,True,True,74,False,True,False
ep_0281,0,24,primary,True,87,97,True,True,87,False,True,False,True,True,85,True,False,False
ep_0282,0,25,primary,True,84,94,True,True,85,False,True,False,True,True,84,False,True,False
ep_0283,0,26,primary,True,108,118,True,True,108,False,True,False,True,True,107,True,False,False
ep_0284,0,27,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0285,1,23,primary,True,64,74,True,True,67,False,True,False,True,True,65,False,True,False
ep_0286,1,24,primary,True,92,102,True,True,93,False,True,False,True,True,92,False,True,False
ep_0287,1,25,primary,True,81,91,True,True,84,False,True,False,False,False,-1,False,False,False
ep_0288,1,26,primary,True,128,138,True,True,130,False,True,False,True,True,129,False,True,False
ep_0289,1,27,primary,False,-1,-1,True,True,106,False,False,False,False,False,-1,False,False,False
ep_0290,2,23,primary,True,86,96,True,True,87,False,True,False,True,True,86,False,True,False
ep_0291,2,24,primary,True,106,116,True,True,110,False,True,False,True,True,106,False,True,False
ep_0292,2,25,primary,True,84,94,True,True,87,False,True,False,True,True,84,False,True,False
ep_0293,2,26,primary,True,67,77,True,True,71,False,True,False,True,True,68,False,True,False
ep_0294,2,27,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0295,3,23,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0296,3,24,primary,True,124,134,True,True,126,False,True,False,True,True,122,True,False,False
ep_0297,3,25,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0298,3,26,primary,False,-1,-1,True,True,256,False,False,False,False,False,-1,False,False,False
ep_0299,3,27,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0300,4,23,primary,True,75,85,True,True,76,False,True,False,True,True,75,False,True,False
ep_0301,4,24,primary,True,88,98,True,True,90,False,True,False,True,True,89,False,True,False
ep_0302,4,25,primary,True,90,100,True,True,92,False,True,False,True,True,90,False,True,False
ep_0303,4,26,primary,True,78,88,True,True,79,False,True,False,True,True,77,True,False,False
ep_0304,4,27,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0305,5,23,primary,True,92,102,True,True,93,False,True,False,True,True,92,False,True,False
ep_0306,5,24,primary,True,106,116,True,True,107,False,True,False,True,True,105,True,False,False
ep_0307,5,25,primary,True,230,240,True,False,-1,False,False,False,True,True,227,True,False,False
ep_0308,5,26,primary,True,76,86,True,True,76,False,True,False,True,True,75,True,False,False
ep_0309,5,27,primary,True,112,122,True,True,119,False,True,False,True,True,115,False,True,False
ep_0310,6,23,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0311,6,24,primary,True,110,120,True,True,116,False,True,False,True,True,108,True,False,False
ep_0312,6,25,primary,True,77,87,True,True,79,False,True,False,True,True,76,True,False,False
ep_0313,6,26,primary,True,83,93,True,True,84,False,True,False,True,True,83,False,True,False
ep_0314,6,27,primary,True,74,84,True,True,77,False,True,False,True,True,73,True,False,False
ep_0315,7,23,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0316,7,24,primary,True,89,99,True,True,94,False,True,False,True,True,87,True,False,False
ep_0317,7,25,primary,True,78,88,True,True,81,False,True,False,True,True,77,True,False,False
ep_0318,7,26,primary,False,-1,-1,True,True,122,False,False,False,False,False,-1,False,False,False
ep_0319,7,27,primary,True,79,89,True,True,82,False,True,False,True,True,77,True,False,False
ep_0320,8,23,primary,False,-1,-1,True,True,161,False,False,False,False,False,-1,False,False,False
ep_0321,8,24,primary,True,74,84,True,True,77,False,True,False,True,True,74,False,True,False
ep_0322,8,25,primary,True,76,86,True,True,78,False,True,False,True,True,75,True,False,False
ep_0323,8,26,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0324,8,27,primary,True,81,91,True,True,89,False,True,False,True,True,80,True,False,False
ep_0325,9,23,primary,True,74,84,True,True,74,False,True,False,True,True,74,False,True,False
ep_0326,9,24,primary,True,73,83,True,True,75,False,True,False,True,True,73,False,True,False
ep_0327,9,25,primary,True,262,272,True,True,263,False,True,False,True,True,262,False,True,False
ep_0328,9,26,primary,True,80,90,True,True,82,False,True,False,True,True,80,False,True,False
ep_0329,9,27,primary,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0330,0,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0331,0,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0332,0,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0333,0,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0334,1,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0335,1,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0336,1,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0337,1,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0338,2,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0339,2,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0340,2,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0341,2,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0342,3,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0343,3,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0344,3,26,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0345,3,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0346,4,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0347,4,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0348,4,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0349,4,27,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0350,5,23,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0351,5,24,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
ep_0352,5,25,reserve,False,-1,-1,False,False,-1,False,False,False,False,False,-1,False,False,False
