section,stage,item,metric,value,denominator,primary_unit,claim_id,status,boundary_note
x0_mechanism,X0,T3,raw_positive_rate,0.39438,1245,source-declared parent/probe,C201;C202,STAGE_X_PHYSICAL_DUTY_CYCLE_MECHANISM_SUPPORTED,no iid uncertainty exported
x0_mechanism,X0,T5,raw_positive_rate,0.67758,1191,source-declared parent/probe,C201;C202,STAGE_X_PHYSICAL_DUTY_CYCLE_MECHANISM_SUPPORTED,no iid uncertainty exported
x0_mechanism,X0,T10,raw_positive_rate,0.87300,1126,source-declared parent/probe,C201;C202,STAGE_X_PHYSICAL_DUTY_CYCLE_MECHANISM_SUPPORTED,no iid uncertainty exported
timing_generalization,VI-B2,,overall_AUROC,0.6246432939,16 fresh parents; 384 probes; T5 333 consumable and 51 abstain/censored; overall AUROC 0.6246432939; ECE-10 0.4606357016,fresh parent with abstains/censoring retained,C203,held-out causal/actionable gate not established,retain censoring/non-identifiable; no imputation
timing_generalization,VI-B2,,ECE10,0.4606357016,16 fresh parents; 384 probes; T5 333 consumable and 51 abstain/censored; overall AUROC 0.6246432939; ECE-10 0.4606357016,fresh parent with abstains/censoring retained,C203,above frozen 0.25 limit,retain censoring/non-identifiable; no imputation
timing_generalization,VII,,promoted_candidates,0,Three frozen detector candidates S7-A/S7-B/S7-C; parent-grouped cross-suite promotion gates,parent-grouped candidate evaluation,C204,S7-A/S7-B/S7-C all failed at least one gate,retain censoring/non-identifiable; no imputation
timing_generalization,VIII,,R1-A_parent_macro_AUC,0.577615,"1,344 T5 rows; 1,191 consumable; 56 parents; R1-A/R1-B parent-macro AUC 0.577615/0.658572; both frozen gates FAIL",parent-grouped selector evaluation,C205,FAIL,retain censoring/non-identifiable; no imputation
timing_generalization,VIII,,R1-B_parent_macro_AUC,0.658572,"1,344 T5 rows; 1,191 consumable; 56 parents; R1-A/R1-B parent-macro AUC 0.577615/0.658572; both frozen gates FAIL",parent-grouped selector evaluation,C205,FAIL,retain censoring/non-identifiable; no imputation
factorization_gap,IX,E0,model_side_auroc,0.870743,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
factorization_gap,IX,E0,factorized_parent_macro_auc,0.483698,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
factorization_gap,IX,E1,model_side_auroc,0.900510,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
factorization_gap,IX,E1,factorized_parent_macro_auc,0.521112,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
factorization_gap,IX,E3,model_side_auroc,0.897157,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
factorization_gap,IX,E3,factorized_parent_macro_auc,0.523390,"1,344 sealed no-environment rows; model AUROC E0/E1/E3 = 0.870743/0.900510/0.897157; factorized parent-macro AUC = 0.483698/0.521112/0.523390",no-environment row with parent-macro utility,C206,STAGE_IX_NO_MODEL_SIDE_TIMING_SIGNAL,top-k/LOSO=UNSATISFIED; no environment
