backup_component,relative_path,source_size,destination_size,source_sha256,destination_sha256,source_path,destination_path,path_present_in_destination,size_match,sha256_match,status
object,CLEAN/MANIFEST.jsonl,89631,89631,105f25a3b4bf1681eb4959ce63e17dec62296c0abb12db8ade969773ab375bc4,105f25a3b4bf1681eb4959ce63e17dec62296c0abb12db8ade969773ab375bc4,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu0_even.jsonl,11618,11618,905f77a322e4b61174df7bf3a349c1c6217e7efbe4219b4913976a20e599aa5b,905f77a322e4b61174df7bf3a349c1c6217e7efbe4219b4913976a20e599aa5b,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu0_even.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu0_even.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu0_odd.jsonl,11066,11066,75d4638755b5954fe909d666c6a79556c41695c67124a13861e47c9bbc2ab79f,75d4638755b5954fe909d666c6a79556c41695c67124a13861e47c9bbc2ab79f,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu0_odd.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu0_odd.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu2_even.jsonl,11066,11066,3f45febf8b657cd2dbfafb215f6b876338873299b41942e1aa052106f41f0751,3f45febf8b657cd2dbfafb215f6b876338873299b41942e1aa052106f41f0751,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu2_even.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu2_even.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu2_odd.jsonl,11065,11065,f78ff4b04f901c5215a61c695309200337bca9739a1f490d3fc29bcd27da5e00,f78ff4b04f901c5215a61c695309200337bca9739a1f490d3fc29bcd27da5e00,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu2_odd.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu2_odd.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu3_even.jsonl,11065,11065,19da105b77c4888b135a427fb3485ab3cd5e4cacc3298a863687f68b1ede784b,19da105b77c4888b135a427fb3485ab3cd5e4cacc3298a863687f68b1ede784b,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu3_even.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu3_even.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu3_odd.jsonl,11065,11065,797cbde32a0d6aa55ccb89c30441b5d10683124baf71763c4fd7ccd122140118,797cbde32a0d6aa55ccb89c30441b5d10683124baf71763c4fd7ccd122140118,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu3_odd.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu3_odd.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu4_even.jsonl,11619,11619,4c665fde69f02c7261d4c0b9030f9694e1bd405e982c5644509576109d651c0a,4c665fde69f02c7261d4c0b9030f9694e1bd405e982c5644509576109d651c0a,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu4_even.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu4_even.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_gpu4_odd.jsonl,11067,11067,312a90184df5011923c60c35349b570e0f16a03a9b827ec11eda313279190ef4,312a90184df5011923c60c35349b570e0f16a03a9b827ec11eda313279190ef4,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu4_odd.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_gpu4_odd.jsonl,True,True,True,PASS
object,CLEAN/MANIFEST_retry_gpu0.jsonl,4426,4426,4dad60863902333e1fd20a29654760347c4ce704819928a75777abcce00d695b,4dad60863902333e1fd20a29654760347c4ce704819928a75777abcce00d695b,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/CLEAN/MANIFEST_retry_gpu0.jsonl,/data/liuyu/openvla_gripper_freeze/20260702_codex_verified_v3/object/vis_heldout_formal_v1/CLEAN/MANIFEST_retry_gpu0.jsonl,True,True,True,PASS
