task,state_id,tier,tier_reason,completeness,copy_rank,n_copies,tie_breaker,n_rows,step_ok,step_note,n_d4_basic_fields,n_d4_privileged_fields,has_detector_candidates,has_provenance,has_artifact_hashes,has_teacher_sidecar,prov_commit,prov_gpu,step_trace_sha256_fast,candidates_sha256_fast,episode_dir
alphabet_soup,2,streaming_replay_usable,full_d4_schema_with_candidates,66,1,3,highest_completeness,144,True,144_steps_ok,15,20,1,1,1,1,52bdc33507a584e1,"2,6",0782b08db1dda2c73a14e61f00f11ddc288b8199464f66d562a4a8b68793d0e9,32a06d2b9f9ea54ea1054d5d31439d8eefbc34df09f253f64a405c09eef580f3,/data/liuyu/outputs/l12_sidecar_smoke/alphabet_soup_s2_shadow_attempt1
alphabet_soup,2,streaming_replay_usable,full_d4_schema_with_candidates,66,2,3,completeness_rank_2,144,True,144_steps_ok,15,20,1,1,1,1,44bf7b86bafdda79,"2,6",0782b08db1dda2c73a14e61f00f11ddc288b8199464f66d562a4a8b68793d0e9,32a06d2b9f9ea54ea1054d5d31439d8eefbc34df09f253f64a405c09eef580f3,/data/liuyu/outputs/d5_120_privileged_capture/alphabet_soup_s2_shadow_attempt1
alphabet_soup,2,student_train_usable,has_candidates_no_privileged,46,3,3,completeness_rank_3,144,True,144_steps_ok,15,0,1,1,1,1,52bdc33507a584e1,"2,6",7f05dec86de48c9e81244f08221c6c30f4562de705f4048351a47268a690eee7,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/l12_sidecar_smoke/alphabet_soup_s2_reference_attempt1
alphabet_soup,7,streaming_replay_usable,full_d4_schema_with_candidates,66,1,9,highest_completeness,174,True,174_steps_ok,15,20,1,1,1,1,c9c7a3a7c81d1233,"2,6",d68192d5c067eaf5e80a57c563d6daf14a77959173b85ee31cad5bae7da1ca01,39f05ce33d4eb0ad9e353d1ea626b466c76961ff75fde865a22e5d61929bea9b,/data/liuyu/outputs/d4_34_privileged_replay/alphabet_soup_s7_shadow_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,2,9,completeness_rank_2,280,True,280_steps_ok,15,0,1,1,1,1,989449346f873e50,"4,5",7f9d0b544207647ea62677159a5a0ee0563d686fe8d979a7a78eddd20e2f4a8a,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_3b_gpu45_smoke/alphabet_soup_s7_reference_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,3,9,completeness_rank_3,190,True,190_steps_ok,15,0,1,1,1,1,989449346f873e50,"4,5",fe056d889d6bffbdddc7998c738930cd91562591174ec3311e23a9055490ae06,fbaf2a57067d2916f751cca567068e571c18c127578c994ef085a8f33fd54799,/data/liuyu/outputs/d4_3b_gpu45_smoke/alphabet_soup_s7_shadow_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,4,9,completeness_rank_4,174,True,174_steps_ok,15,0,1,1,1,1,989449346f873e50,"2,6",79d4fd5ab4a23eaea3ec7331b18b67026da24aa55cea20d72d5e7a4dd6a299cb,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_crossover_gpu26_v2/alphabet_soup_s7_reference_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,5,9,completeness_rank_5,174,True,174_steps_ok,15,0,1,1,1,1,989449346f873e50,"2,6",79d4fd5ab4a23eaea3ec7331b18b67026da24aa55cea20d72d5e7a4dd6a299cb,39f05ce33d4eb0ad9e353d1ea626b466c76961ff75fde865a22e5d61929bea9b,/data/liuyu/outputs/d4_crossover_gpu26_v2/alphabet_soup_s7_shadow_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,6,9,completeness_rank_6,174,True,174_steps_ok,15,0,1,1,1,1,989449346f873e50,"1,3",79d4fd5ab4a23eaea3ec7331b18b67026da24aa55cea20d72d5e7a4dd6a299cb,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_3b_retry_v2/alphabet_soup_s7_reference_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,7,9,completeness_rank_7,215,True,215_steps_ok,15,0,1,1,1,1,989449346f873e50,"4,5",110e1743c77c5525d4987bde895806865dfd7d3fe701b9e398eec6d4070a2bde,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_3b_panel_9894493_parallel_r1/alphabet_soup_s7_reference_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,8,9,completeness_rank_8,177,True,177_steps_ok,15,0,1,1,1,1,989449346f873e50,"4,5",7849629176ca010aeecb112f0367aa4e8da74cbf2a6df417b0d86f418131477e,213c89703c388092f2860d0894b5e2640962c5d6e6df28efef82cacc69ad90a6,/data/liuyu/outputs/d4_3b_panel_9894493_parallel_r1/alphabet_soup_s7_shadow_attempt1
alphabet_soup,7,student_train_usable,has_candidates_no_privileged,46,9,9,completeness_rank_9,174,True,174_steps_ok,15,0,1,1,1,1,989449346f873e50,"2,6",79d4fd5ab4a23eaea3ec7331b18b67026da24aa55cea20d72d5e7a4dd6a299cb,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_crossover_debug/alphabet_soup_s7_reference_attempt1
alphabet_soup,10,streaming_replay_usable,full_d4_schema_with_candidates,66,1,1,highest_completeness,280,True,280_steps_ok,15,20,1,1,1,1,44bf7b86bafdda79,"1,3",b633b78910427eaba2a029fafbce6dd61e24f565e1d7843e8d094e54cdaadc89,85c41f78584d9bc4b8962bb52e98b9e272663a8ce4e0e23fff3b78d4fda5211d,/data/liuyu/outputs/d44d_balanced120_gpu13_r1/alphabet_soup_s10_shadow_attempt1
alphabet_soup,11,streaming_replay_usable,full_d4_schema_with_candidates,66,1,3,highest_completeness,165,True,165_steps_ok,15,20,1,1,1,1,c9c7a3a7c81d1233,"2,6",d3c8b9f1ccb154425f701e019a2c5466df9193653e1c37510df57773df18b426,4069ec1eefdbe16d0985e1e0472414937f5adc6d9c648ddafc2283e135300893,/data/liuyu/outputs/d4_34_privileged_replay/alphabet_soup_s11_shadow_attempt1
alphabet_soup,11,student_train_usable,has_candidates_no_privileged,46,2,3,completeness_rank_2,165,True,165_steps_ok,15,0,1,1,1,1,989449346f873e50,"2,6",4768094fd967b16bc33034d1a3cecd01992f83960b518722fd304813d6df6d6e,e2d86704fd81e51b40954d73d3f9e223a82b088377cac15d3de07c08d0c00a4f,/data/liuyu/outputs/d4_3b_panel_9894493_parallel_r1/alphabet_soup_s11_reference_attempt1
alphabet_soup,11,student_train_usable,has_candidates_no_privileged,46,3,3,completeness_rank_3,165,True,165_steps_ok,15,0,1,1,1,1,989449346f873e50,"2,6",4768094fd967b16bc33034d1a3cecd01992f83960b518722fd304813d6df6d6e,4069ec1eefdbe16d0985e1e0472414937f5adc6d9c648ddafc2283e135300893,/data/liuyu/outputs/d4_3b_panel_9894493_parallel_r1/alphabet_soup_s11_shadow_attempt1
alphabet_soup,13,streaming_replay_usable,full_d4_schema_with_candidates,66,1,1,highest_completeness,280,True,280_steps_ok,15,20,1,1,1,1,44bf7b86bafdda79,"1,3",f3fedf6bf8757450a6913ffda606303b71f0049b1cc9befd0017e869e453626e,8646cf2bbc408c329650118a2e9eaf62beb10138e4d0d8822edd662b5256f86c,/data/liuyu/outputs/d5_120_privileged_capture/alphabet_soup_s13_shadow_attempt1
alphabet_soup,14,streaming_replay_usable,full_d4_schema_with_candidates,66,1,1,highest_completeness,166,True,166_steps_ok,15,20,1,1,1,1,44bf7b86bafdda79,"2,6",5348d6d660509270512df005f9894ffd3c25624279ff3555dabf73ea0d7917ba,bfcb7de22176cc9c354b32e8c510ccfefc70a8dddad8c1116fb468f4f5683396,/data/liuyu/outputs/d5_120_privileged_capture/alphabet_soup_s14_shadow_attempt1
