condition_id,family,script_path,config_path,objective_semantics,target_dimensions,timing_policy,arm_lock_mode,runner_compatible,implementation_exists,unit_tests_exist,engineering_canary_exists,formal_manifest_exists,freeze_bundle_exists,preregistration_complete,missing_fields,gate,notes
CLEAN,clean_reference,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,clean rollout no visual attack,none,Student detector observed but no attack,none,partial,true,false,false,true,false,false,closure bundle and live branch binding,HOLD,"Live Formal CLEAN manifest has 162 rows but only 107 summaries during audit."
RAND_LINF,matched_control,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,random processor-space Linf delta,visual pixels,Student trigger,none,partial,true,false,legacy_only,false,false,false,LOTO manifest freeze and explicit objective metadata,HOLD,"RAND path selected by condition RAND_T10; old erratum says objective_id was metadata-only blank."
SHUFFLED_GRADIENT,matched_control,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,targeted gradient with permuted gradient transform,visual pixels,Student trigger,none,partial,true,false,false,false,false,false,LOTO canary and freeze,HOLD,"Bridge supports SHUFFLED_T10 via gradient_transform=permute; no LOTO freeze."
UMA_UNTARGETED_CE_PGD,generic_attack,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,untargeted clean-token CE maximization,visual pixels,Student trigger,none,partial,true,false,legacy_only,false,false,false,exact LOTO condition spec and telemetry freeze,HOLD,"Existing objective is token CE untargeted, not final frozen UMA prereg."
UADA_DOF1_3,action_discrepancy_baseline,,,not implemented as soft action discrepancy,DoF1-3 or gripper per final spec unresolved,Student trigger,none,false,false,false,false,false,false,false,objective implementation or rename,HOLD,"Existing UADA audit says no true action-discrepancy attack objective exists."
UPA_DOF1_3,position_aware_baseline,,,not verified,DoF1-3,Student trigger,none,false,false,false,false,false,false,false,code path and sign/axis semantics,HOLD,"No faithful geometry/direction-aware UPA implementation found in first-pass search."
ADAPTED_TMA_OPEN,targeted_baseline,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,targeted CE/TMA-like OPEN token objective,DoF7 physical OPEN,Student trigger,optional ArmLock,partial,true,false,legacy_only,false,false,false,matched LOTO threat-model freeze,HOLD,"Legacy TMA exists; current LOTO adapted TMA-OPEN is not frozen."
PREFIX_LOG_RATIO_OPEN,proposed_payload,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,"autoregressive_prefix_gripper_target_token_logratio_arm_v3",DoF7 physical OPEN with arm preservation,Student trigger,optional ArmLock,partial,true,false,engineering_canary_passed,false,false,false,Formal CLEAN closure and condition freeze,HOLD,"Canary passed on live freeze; formal condition bundle absent."
PREFIX_RANDOM_TIME,timing_control,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,same Prefix payload at random valid time,DoF7 physical OPEN,random-time,optional ArmLock,partial,true,false,legacy_only,false,false,false,random-time rule and manifest,HOLD,"Old timing evidence exists; LOTO random-time manifest not frozen."
PREFIX_EARLY_SHIFT,timing_control,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,same Prefix payload shifted early,DoF7 physical OPEN,early-shift,optional ArmLock,partial,true,false,legacy_only,false,false,false,early-shift offset rule and manifest,HOLD,"Old timing evidence exists; LOTO rule not frozen."
PREFIX_FIXED_TIME_PRIOR,timing_control,,,same Prefix payload at fixed prior time,DoF7 physical OPEN,fixed-time prior,optional ArmLock,false,false,false,false,false,false,false,fixed-time prior implementation and manifest,HOLD,"No verified LOTO implementation in first-pass audit."
PREFIX_STUDENT,proposed_payload,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,"autoregressive_prefix_gripper_target_token_logratio_arm_v3",DoF7 physical OPEN,Student trigger,optional ArmLock,partial,true,false,engineering_canary_passed,false,false,false,condition freeze bundle,HOLD,"Batch A candidate after Formal CLEAN closure."
PREFIX_TEACHER_ORACLE,timing_upper_bound,,,same Prefix payload at privileged Teacher anchor,DoF7 physical OPEN,teacher oracle,optional ArmLock,false,false,false,false,false,false,false,oracle timing implementation and manifest,HOLD,"Privileged timing upper bound not authorized before prereg freeze."
TMA_RANDOM_TIME,timing_control,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,TMA-like OPEN target at random time,DoF7 physical OPEN,random-time,optional ArmLock,partial,true,false,legacy_only,false,false,false,random-time TMA LOTO manifest,HOLD,"Old timing audit exists; current LOTO condition not frozen."
TMA_STUDENT,targeted_baseline,scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,,TMA-like OPEN target,DoF7 physical OPEN,Student trigger,optional ArmLock,partial,true,false,legacy_only,false,false,false,matched LOTO freeze,HOLD,"Use ADAPTED_TMA_OPEN naming unless original protocol is reproduced."
ADAPTED_FREEZEVLA,generic_sota_reference,,,not implemented,visual pixels,Student trigger,none,false,false,false,false,false,false,false,adaptation spec and four-fold canary,HOLD,"Recommended contemporary baseline but no verified implementation."
ORIGINAL_PROTOCOL_TMA,external_reproduction,,,not implemented as original protocol,original protocol target,original protocol timing/exposure,original protocol,false,false,false,false,false,false,false,separate reproduction protocol,HOLD,"Required before any original-SOTA superiority claim."
