check_id,scope,status,severity,evidence,recommended_action
RCH-001,trace_count,PASS,P0,trace_count=27 expected=27; summary_count=27 expected=27,
RCH-002,trace_version,PASS,P0,{'corrected_stageb_v1_1': 27},Require corrected_stageb_v1_1 for all traces.
RCH-003,source_snapshot_id,PASS,P0,{'f9840cb1': 27},Require RC1a source_snapshot_id=f9840cb1.
RCH-004,prompt_style,PASS,P0,{'official_in_out': 27},Require official_in_out.
RCH-005,image_preprocess_style,PASS,P0,{'official_rot180_only': 27},Require explicit official_rot180_only for this RC1a scan.
RCH-006,open_convention,PASS,P0,{'env_action_6_lt_neg_0p5_means_OPEN': 27},Require RC1a corrected open convention.
RCH-007,qpos_source,PASS,P0,{'obs_robot0_gripper_qpos': 27},Require obs_robot0_gripper_qpos.
RCH-008,clean_no_attack,PASS,P0,"conditions={'clean': 27}; scan_log_has_vis/random/pgd=False; max_attack_counts=(0, 0, 0)",Do not use scan if any VIS/random/PGD appears.
RCH-009,candidate_artifact,BLOCKER,P0,candidate_paths_matching_rc1a_reachability=65; output_dir_candidate_files=0,Generate or provide RC1a candidate/window table derived from these clean traces before 3-row corrected smoke.
RCH-010,old_mixing,PASS,P0,old_mixing_names=[],Reject old windows/labels/pre-v1.1 traces.
RCH-011,requested_scan_window_vs_actual_rollout,BLOCKER,P0,"requested window [1,295] exceeds actual max_step for 12/27 traces; all still have n_window_steps>=8",Candidate generation must clip/select windows within each trace actual step range.
RCH-012,n_window_steps,PASS,P0,n_window_steps_lt_8=0; min_n_window_steps=114,Require n_window_steps >= 8.
RCH-013,early_done_reason,WARNING,P1,early_done_or_short_rollout=12; summaries report success=1 but no explicit done_reason field; trace done column remains 0 for sampled rows,Add explicit done_reason/success_reason in future summaries; for now treat early truncation as success-ended clean rollout only if candidate windows are clipped before max_step.
TRACE-alphabet_soup_clean_job99003,trace:trace_alphabet_soup_clean_job99003.csv,PASS,P2,task=alphabet_soup state=0 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-alphabet_soup_clean_job99013,trace:trace_alphabet_soup_clean_job99013.csv,PASS,P2,task=alphabet_soup state=1 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-alphabet_soup_clean_job99023,trace:trace_alphabet_soup_clean_job99023.csv,PASS,P2,task=alphabet_soup state=2 steps=0-299 window=1-295 n_window_steps=295 issues=none success=0,Use only candidate windows inside actual range; no action if PASS.
TRACE-bbq_sauce_clean_job99002,trace:trace_bbq_sauce_clean_job99002.csv,BLOCKER,P0,task=bbq_sauce state=0 steps=0-140 window=1-295 n_window_steps=140 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
TRACE-bbq_sauce_clean_job99012,trace:trace_bbq_sauce_clean_job99012.csv,BLOCKER,P0,task=bbq_sauce state=1 steps=0-135 window=1-295 n_window_steps=135 issues=window_out_of_actual_range success=1,Use only candidate windows inside actual range; no action if PASS.
