candidate_id,task_key,state_id,window_start,window_end,disagreement_type,vis_label,vis_open_count,vis_pgd_steps,taxonomy,ceiling_flag,n_frames,clean_open_count,random_open_count,targeted_open_count_pgd3,targeted_open_count_pgd10,targeted_longest_streak_pgd3,targeted_longest_streak_pgd10,targeted_minus_clean_pgd3,targeted_minus_clean_pgd10,targeted_minus_random_pgd3,targeted_minus_random_pgd10,p3_mc,p10_mc,p3_mr,p10_mr,f31_pgd3_tmc_ref,pgd3_decision,pgd10_decision,status_transition,diagnosis
ketchup_s0_w16_33,ketchup,0,16,33,CEILING_POSITIVE,positive,18,20,action_positive_physical_strong_task_positive,1,3,3,3,2,1,2,1,-1,-2,-1,-2,-1,-2,-1,-2,-2,PROBE_CLOSE,PROBE_CLOSE,CEILING: PGD10 < PGD3 (unexpected),CEILING_ARTIFACT: delta-to-clean invalid; raw targeted_open_rate is primary metric
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,POSITIVE_LABEL_LOW_PROBE,positive,18,40,claim_usable,0,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,-1,PROBE_NEUTRAL,PROBE_NEUTRAL,PERSISTENT_FN: both PGD3 and PGD10 miss VIS signal,BUDGET_INSENSITIVE: PGD10 same as PGD3 — not a budget issue; NO_ENV_SURROGATE_SUSPECTED: even PGD10 no-env disagrees with rollout VIS; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
butter_s3_w29_46,butter,3,29,46,HIGH_PROBE_NEGATIVE_LABEL,ignore,0,40,polluted,0,3,1,1,1,2,1,2,0,1,0,1,0,1,0,1,6,PROBE_NEUTRAL,PROBE_OPEN,NEW_FP: PGD10 introduces false positive,BUDGET_OVERSHOOT: PGD10 creates false positive that PGD3 avoids; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
cream_cheese_s4_w28_45,cream_cheese,4,28,45,POSITIVE_LABEL_LOW_PROBE,positive,18,40,claim_usable,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,PROBE_OPEN,PROBE_OPEN,AGREE_POSITIVE,ALIGNED: both PGD3 and PGD10 agree with VIS label; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
ketchup_s1_w21_38,ketchup,1,21,38,POSITIVE_LABEL_LOW_PROBE,positive,18,40,claim_usable,0,3,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,PROBE_CLOSE,PROBE_CLOSE,PERSISTENT_FN: both PGD3 and PGD10 miss VIS signal,BUDGET_INSENSITIVE: PGD10 same as PGD3 — not a budget issue; NO_ENV_SURROGATE_SUSPECTED: even PGD10 no-env disagrees with rollout VIS; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
ketchup_s5_w9_26,ketchup,5,9,26,CEILING_POSITIVE,negative,18,40,action_positive_physical_positive_task_negative,1,3,3,3,1,0,1,0,-2,-3,-2,-3,-2,-3,-2,-3,-3,PROBE_CLOSE,PROBE_CLOSE,CEILING: PGD10 < PGD3 (unexpected),CEILING_ARTIFACT: delta-to-clean invalid; raw targeted_open_rate is primary metric; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
milk_s4_w19_36,milk,4,19,36,POSITIVE_LABEL_LOW_PROBE,positive,18,40,claim_usable,0,3,1,1,0,1,0,1,-1,0,-1,0,-1,0,-1,0,-2,PROBE_CLOSE,PROBE_NEUTRAL,PERSISTENT_FN: both PGD3 and PGD10 miss VIS signal,PARTIAL_BUDGET: PGD10 changes signal but does not align with VIS; NO_ENV_SURROGATE_SUSPECTED: even PGD10 no-env disagrees with rollout VIS; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
milk_s5_w25_42,milk,5,25,42,POSITIVE_LABEL_LOW_PROBE,negative,18,40,action_positive_physical_positive_task_negative,0,3,2,1,1,0,1,0,-1,-2,0,-1,-1,-2,0,-1,0,PROBE_CLOSE,PROBE_CLOSE,PERSISTENT_FN: both PGD3 and PGD10 miss VIS signal,PARTIAL_BUDGET: PGD10 changes signal but does not align with VIS; NO_ENV_SURROGATE_SUSPECTED: even PGD10 no-env disagrees with rollout VIS; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
salad_dressing_s0_w31_48,salad_dressing,0,31,48,HIGH_PROBE_NEGATIVE_LABEL,ignore,0,40,polluted,0,3,1,1,3,2,3,1,2,1,2,1,2,1,2,1,4,PROBE_OPEN,PROBE_OPEN,PERSISTENT_FP: both PGD3 and PGD10 disagree with VIS,PARTIAL_BUDGET: PGD10 changes signal but does not align with VIS; NO_ENV_SURROGATE_SUSPECTED: even PGD10 no-env disagrees with rollout VIS; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,HIGH_PROBE_NEGATIVE_LABEL,negative,0,40,no_action_bridge,1,3,3,3,3,2,3,1,0,-1,0,-1,0,-1,0,-1,6,PROBE_NEUTRAL,PROBE_CLOSE,CEILING: PGD10 < PGD3 (unexpected),CEILING_ARTIFACT: delta-to-clean invalid; raw targeted_open_rate is primary metric; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
salad_dressing_s5_w28_45,salad_dressing,5,28,45,HIGH_PROBE_NEGATIVE_LABEL,negative,0,40,no_action_bridge,0,3,0,1,2,0,1,0,2,0,1,-1,2,0,1,-1,7,PROBE_OPEN,PROBE_NEUTRAL,REPAIRED: PGD10 fixed FP,PGD3_UNDERPOWERED: higher budget corrects the error; NOTE: VIS uses PGD40 rollout; PGD10 no-env still 4x under budget
