finding_id,area,status,severity,file_or_path,evidence,required_action
ALIGN-001,official_action_chain,PASS,high,src/gripper_attack/openvla_libero_exec_spec.py,"Spec mirrors official get_action/predict_action -> normalize_gripper_action(..., binarize=True) -> invert_gripper_action -> env.step.",Keep this module as the single source of truth for Stage-B action semantics.
ALIGN-002,raw_boundary_semantics,PASS_AFTER_PATCH,critical,src/gripper_attack/openvla_libero_exec_spec.py,"raw_gripper == 0.5 now maps to env_action_6 == 0.0 and is boundary_or_neutral, matching official np.sign behavior.",Do not classify boundary tokens as OPEN or CLOSE.
ALIGN-003,raw_open_close_semantics,PASS_AFTER_PATCH,critical,src/gripper_attack/openvla_libero_exec_spec.py,"OPEN is raw > 0.5; CLOSE is raw < 0.5; env OPEN is env_action_6 < -0.5; env CLOSE is env_action_6 > +0.5.",Reject any current Stage-B code that uses raw >= 0.5 as OPEN.
ALIGN-004,attack_token_region,PASS_AFTER_PATCH,critical,src/gripper_attack/attack_adapter.py,"get_gripper_region_by_decoded_action separates open/close/boundary tokens; OPEN tokens must decode raw > 0.5 and env < -0.5.",Use prefix_locked_gripper_open_margin only with this corrected token region.
ALIGN-005,boundary_token_exclusion,PASS_AFTER_PATCH,high,tests/stageb/test_attack_open_token_region.py,"Synthetic token raw=0.5 is boundary only and excluded from open_token_ids/close_token_ids.",Keep boundary regression tests before any Stage-B release.
ALIGN-006,prompt_style,PASS,high,scripts/run_stageb_vis_labeling.py,"Runner imports official_prompt and records prompt_style=official_in_out for the non-openvla-v01 LIBERO object checkpoint.",If openvla-v01 checkpoint is used later, add/check the official v0.1 chat branch.
ALIGN-007,image_preprocess_style,BOUNDARY,medium,scripts/run_stageb_vis_labeling.py,"Runner records official_rot180_only or legacy_direct_agentview_no_rotation. This is explicit but not full official Octo JPEG+resize.",Do not call current image path fully official until Octo resize/JPEG path is implemented or imported.
ALIGN-008,qpos_source,PASS,high,scripts/run_stageb_vis_labeling.py,"Trace schema uses qpos_source=obs_robot0_gripper_qpos and records obs_gripper_qpos_0/1/abs_sum.",Keep sim.data.qpos[-2:] out of Stage-B labels.
ALIGN-009,postprocess_open_counter,PASS_AFTER_PATCH,high,scripts/stageb/postprocess_traces_v1_1.py,"Open counting now calls env_gripper_is_open from the executable spec instead of direct sign checks.",Keep direct open comparisons out of Stage-B v1.1 main path.
ALIGN-010,trace_version_quarantine,PASS,high,scripts/stageb/postprocess_traces_v1_1.py,"Postprocess accepts only corrected_stageb_v1_1 and rejects old traces.",Do not mix old patched rerun labels with v1.1 labels.
ALIGN-011,label_builder_quarantine,PASS,high,scripts/stageb/build_pair_labels_v1_1.py,"Label builder hard-fails any qpos row whose trace_version is not corrected_stageb_v1_1.",Do not consume old overnight labels or old summary qpos_delta.
ALIGN-012,source_snapshot_id,PASS_AFTER_PATCH,high,scripts/run_stageb_vis_labeling.py,"SOURCE_SNAPSHOT_ID updated to f9840cb1 after official-boundary spec patch; validator requires the same value.",Server must be resynced before any new Stage-B run.
ALIGN-013,local_tests,PASS,high,tests/stageb,"Local CPU validation: py_compile passed and pytest tests/stageb produced 47 passed.",Repeat on server official env after sync.
ALIGN-014,legacy_scripts,WARNING,medium,scripts/diagnostics,"Some non-Stage-B diagnostic scripts still contain stale gripper comments or local helpers. They are not in the v1.1 main path.",Patch before using those diagnostic scripts for new evidence.
ALIGN-015,server_snapshot,BOUNDARY,high,/data/liuyu/repos/codex_stageb_openvla_alignment_rc1a_20260607,"RC1a files passed CPU validation in an isolated server copy: py_compile OK; pytest tests/stageb 47 passed; SHA table rows=40 missing=0 py310_fail=0. Live reviewed worktree was not overwritten because it is dirty/manual-upload state.",Before DeepSeek launches new Stage-B jobs, sync the live execution worktree to this RC1a source or run from the verified copy.
