trace_id,task_key,state_id,seed,provenance_pass,field_validity_pass,open_convention_pass,remap_pass,grasp_privilege_valid,n_close_candidates,n_tp_qualifying_candidates,teacher_p_step,legacy_first_match_step,teacher_r_step,category,failure_detail
trace_alphabet_soup_s0_w0_10_s20d_clean_seed0_job500000,alphabet_soup,0,0,True,True,True,True,True,17,3,-1,184,50,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s3_w0_10_s20d_clean_seed0_job500000,alphabet_soup,3,0,True,True,True,True,True,1,1,57,57,57,ELIGIBLE_SINGLE_CANDIDATE,
trace_alphabet_soup_s4_w0_10_s20d_clean_seed0_job500000,alphabet_soup,4,0,True,True,True,True,True,19,2,-1,172,7,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s5_w0_10_s20d_clean_seed0_job500000,alphabet_soup,5,0,True,True,True,True,True,3,1,101,101,51,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s6_w0_10_s20d_clean_seed0_job500000,alphabet_soup,6,0,True,True,True,True,True,7,3,-1,51,51,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s7_w0_10_s20d_clean_seed0_job500000,alphabet_soup,7,0,True,True,True,True,True,5,2,-1,89,89,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s8_w0_10_s20d_clean_seed0_job540200,alphabet_soup,8,0,True,True,True,True,True,12,1,234,234,49,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s9_w0_10_s20d_clean_seed0_job540200,alphabet_soup,9,0,True,True,True,True,True,11,1,55,55,9,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s11_w0_10_s20d_clean_seed0_job540200,alphabet_soup,11,0,True,True,True,True,True,6,2,-1,56,56,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s23_w0_10_s20d_clean_seed0_job540200,alphabet_soup,23,0,True,True,True,True,True,29,4,-1,118,48,TEACHER_P_AMBIGUOUS,
trace_alphabet_soup_s26_w0_10_s20d_clean_seed0_job590300,alphabet_soup,26,0,True,True,True,True,True,6,1,92,92,47,ELIGIBLE_MULTI_CANDIDATE,
trace_alphabet_soup_s28_w0_10_s20d_clean_seed0_job590300,alphabet_soup,28,0,True,True,True,True,True,3,0,-1,-1,92,TEACHER_P_UNAVAILABLE,
trace_bbq_sauce_s1_w0_10_s20d_clean_seed0_job530200,bbq_sauce,1,0,True,True,True,True,True,13,0,-1,-1,45,TEACHER_P_UNAVAILABLE,
trace_bbq_sauce_s4_w0_10_s20d_clean_seed0_job590000,bbq_sauce,4,0,True,True,True,True,True,4,0,-1,-1,56,TEACHER_P_UNAVAILABLE,
trace_bbq_sauce_s5_w0_10_s20d_clean_seed0_job590000,bbq_sauce,5,0,True,True,True,True,True,2,2,-1,64,64,TEACHER_P_AMBIGUOUS,
trace_bbq_sauce_s6_w0_10_s20d_clean_seed0_job590000,bbq_sauce,6,0,True,True,True,True,True,10,0,-1,-1,22,TEACHER_P_UNAVAILABLE,
trace_bbq_sauce_s7_w0_10_s20d_clean_seed0_job590000,bbq_sauce,7,0,True,True,True,True,True,0,0,-1,-1,-1,NO_CLOSE_CANDIDATE,
