task,state_id,split,teacher_p_status,n_candidates,candidate_count_match,step_mismatches,score_max_diff,abstain_mismatches,emit_frozen,emit_d5_direct,emit_match,abstained_emission,live_feature_mismatches,live_max_feature_diff,live_n_adapter_cands,live_error,error
alphabet_soup,2,train,VALID_LABELED,1,True,0,0.0,0,55,55,True,False,0,1.000000000001e-06,1,,
alphabet_soup,10,test,VALID_TEACHER_P_ABSTAIN,25,True,0,0.0,0,49,49,True,False,0,2.0000000000002655e-06,25,,
alphabet_soup,13,train,VALID_LABELED,5,True,0,0.0,0,57,57,True,False,0,1.0000000000001327e-06,5,,
alphabet_soup,14,train,VALID_LABELED,4,True,0,0.0,0,48,48,True,False,0,1.0000000000001327e-06,4,,
alphabet_soup,15,test,VALID_LABELED,8,True,0,0.0,0,73,73,True,False,0,2.0000000000000486e-06,8,,
alphabet_soup,17,val,VALID_LABELED,13,True,0,0.0,0,49,49,True,False,2,0.5,13,,
alphabet_soup,18,train,VALID_LABELED,7,True,0,0.0,0,61,61,True,False,0,1.0000000000001327e-06,7,,
alphabet_soup,20,train,VALID_LABELED,1,True,0,0.0,0,54,54,True,False,0,1.000000000001e-06,1,,
alphabet_soup,22,train,VALID_LABELED,4,True,0,0.0,0,70,70,True,False,0,1.000000000001e-06,4,,
alphabet_soup,35,val,VALID_LABELED,14,True,0,0.0,0,82,82,True,False,0,2.0000000000002655e-06,14,,
alphabet_soup,40,train,VALID_LABELED,7,True,0,0.0,0,51,51,True,False,0,1.000000000001e-06,7,,
alphabet_soup,44,train,VALID_LABELED,7,True,0,0.0,0,85,85,True,False,0,1.0000000000001327e-06,7,,
bbq_sauce,5,val,VALID_LABELED,1,True,0,0.0,0,74,74,True,False,0,1.000000000001e-06,1,,
bbq_sauce,10,test,VALID_TEACHER_P_ABSTAIN,21,True,0,0.0,0,54,54,True,False,0,2.0000000000000486e-06,21,,
bbq_sauce,17,train,VALID_TEACHER_P_ABSTAIN,0,True,0,0.0,0,-1,-1,True,False,0,0.0,0,,
bbq_sauce,18,train,VALID_TEACHER_P_ABSTAIN,13,True,0,0.0,0,49,49,True,False,0,1.9999999999998318e-06,13,,
bbq_sauce,21,train,VALID_TEACHER_P_ABSTAIN,0,True,0,0.0,0,-1,-1,True,False,0,0.0,0,,
bbq_sauce,26,train,VALID_TEACHER_P_ABSTAIN,4,True,0,0.0,0,54,54,True,False,0,1.000000000001e-06,4,,
bbq_sauce,27,train,VALID_LABELED,2,True,0,0.0,0,61,61,True,False,0,1.000000000001e-06,2,,
bbq_sauce,29,train,VALID_LABELED,4,True,0,0.0,0,62,62,True,False,0,4.911642074583193e-09,4,,
bbq_sauce,30,train,VALID_LABELED,9,True,0,0.0,0,42,42,True,False,0,1.9999999999998318e-06,9,,
bbq_sauce,33,test,VALID_LABELED,2,True,0,0.0,0,49,49,True,False,0,1.000000000001e-06,2,,
bbq_sauce,40,val,VALID_LABELED,3,True,0,0.0,0,53,53,True,False,0,2.0000000000000486e-06,3,,
bbq_sauce,47,train,VALID_TEACHER_P_ABSTAIN,20,True,0,0.0,0,128,128,True,False,0,1.000000000001e-06,20,,
butter,2,train,VALID_LABELED,6,True,0,0.0,0,68,68,True,False,0,1.9999999999998318e-06,6,,
butter,10,train,VALID_LABELED,6,True,0,0.0,0,57,57,True,False,0,1.000000000001e-06,6,,
butter,11,train,VALID_LABELED,3,True,0,0.0,0,60,60,True,False,0,1.000000000001e-06,3,,
butter,12,val,VALID_TEACHER_P_ABSTAIN,15,True,0,0.0,0,57,57,True,False,0,1.000000000001e-06,15,,
butter,15,train,VALID_LABELED,3,True,0,0.0,0,56,56,True,False,0,1.9999999999999944e-06,3,,
butter,16,test,VALID_TEACHER_P_ABSTAIN,9,True,0,0.0,0,12,12,True,False,0,1.000000000001e-06,9,,
butter,22,test,VALID_LABELED,4,True,0,0.0,0,48,48,True,False,0,1.99999999999994e-06,4,,
butter,24,train,VALID_TEACHER_P_ABSTAIN,17,True,0,0.0,0,20,20,True,False,0,1.000000000001e-06,17,,
butter,26,train,VALID_LABELED,4,True,0,0.0,0,63,63,True,False,0,1.0000000000001327e-06,4,,
butter,28,val,VALID_LABELED,2,True,0,0.0,0,65,65,True,False,0,9.999999999999159e-07,2,,
butter,32,train,VALID_TEACHER_P_ABSTAIN,11,True,0,0.0,0,45,45,True,False,0,1.000000000001e-06,11,,
