task,task_id,state_id,episode_id,runner_type,success,success_check,success_done,timeout,num_steps,success_step,failure_phase,seed,center_crop,attention_backend,libero_preprocess_backend,postprocess_gripper,deterministic_init_states,state_id_source,source_path,source_confidence,notes
tomato_sauce,,0,0,official_script_raw,True,True,,,218,218,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,1,1,official_script_raw,True,True,,,194,194,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,2,2,official_script_raw,True,True,,,177,177,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,3,3,official_script_raw,True,True,,,150,150,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,4,4,official_script_raw,True,True,,,171,171,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,5,5,official_script_raw,True,True,,,175,175,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,6,6,official_script_raw,True,True,,,158,158,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,7,7,official_script_raw,False,False,,,290,,no_grasp,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,8,8,official_script_raw,True,True,,,141,141,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
tomato_sauce,,9,9,official_script_raw,True,True,,,149,149,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
butter,,0,0,official_script_raw,True,True,,,149,149,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
butter,,1,1,official_script_raw,True,True,,,169,169,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
butter,,2,2,official_script_raw,True,True,,,167,167,success_libero,0,True (from corrected official context; verify logs if needed),eager (from R2 reconstruction context),official_pil_lanczos (corrected official context),True (official normalize+invert),True,explicit state_id column,/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,high,Raw per-state official manifest row.
