candidate_id,task_key,state_id,window_start,window_end,label_source,label_status,label_vulnerability_ready,train_use,taxonomy,mechanism_type_current,mechanism_type_proposed,mechanism_status_raw,qpos_delta,vis_open_count,task_failure,action_bridge_status,physical_response_status,qpos_label,no_action_bridge_flag,physical_bridge_evidence,physical_bridge_confidence,phase_available,hazard_score_mean,in_calibration_v1_1r,in_calibration_v1_3r,in_calibration_v2,provenance_status,source_batch,final_mechanism_verdict,usable_for_physical_detector,usable_for_policy_detector,notes
ketchup_s0_w16_33,ketchup,0,16,33,gold_v2,positive,1,train,action_positive_physical_strong_task_positive,physical_bridge_positive,physical_bridge_positive,action_positive_physical_strong_task_positive,0.038042,18,False,1,1,strong,False,qpos_delta_strong(0.0380); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,YES,0.0,no,no,no,complete,batch1,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
butter_s0_w29_46,butter,0,29,46,gold_v2,positive,1,train,action_positive_physical_strong_task_positive,physical_bridge_positive,physical_bridge_positive,action_positive_physical_strong_task_positive,0.037905,18,False,1,1,strong,False,qpos_delta_strong(0.0379); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,split groups; merged via manual_trace_merge.csv,batch1,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
alphabet_soup_s0_w3_20,alphabet_soup,0,3,20,gold_v2,ignore,,ignore,weak_physical_uncertain,NOT_IN_TAXONOMY,mechanism_unclear,weak_physical_uncertain,0.027619,18,False,1,0.5,weak,False,qpos_delta_weak(0.0276); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=0.5,weak,no,,no,no,no,random completed; claim=False because qpos<0.03,batch1,mechanism_unclear,no,no,Weak physical evidence; qpos<0.03 threshold
alphabet_soup_s3_w21_38,alphabet_soup,3,21,38,gold_v2,ignore,,ignore,polluted,mechanism_unclear,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.032241,18,False,1,1,strong,False,qpos_delta_strong(0.0322); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
alphabet_soup_s8_w29_46,alphabet_soup,8,29,46,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
bbq_sauce_s0_w30_47,bbq_sauce,0,30,47,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
bbq_sauce_s5_w27_44,bbq_sauce,5,27,44,gold_v2,negative,0,train,action_positive_physical_positive_task_negative,negative_unclassified,physical_task_negative,action_positive_physical_positive_task_negative,0.038119,18,True,1,1,strong,False,qpos_delta_strong(0.0381); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_task_negative,no,no,VIS caused physical opening but task completed
bbq_sauce_s9_w22_39,bbq_sauce,9,22,39,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.038021,18,False,1,1,strong,False,qpos_delta_strong(0.0380); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
butter_s3_w29_46,butter,3,29,46,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
butter_s5_w25_42,butter,5,25,42,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.037568,18,False,1,1,strong,False,qpos_delta_strong(0.0376); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
cream_cheese_s4_w28_45,cream_cheese,4,28,45,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.038149,18,False,1,1,strong,False,qpos_delta_strong(0.0381); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,YES,0.0,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
ketchup_s1_w21_38,ketchup,1,21,38,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.037871,18,False,1,1,strong,False,qpos_delta_strong(0.0379); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,YES,0.0,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
ketchup_s2_w39_56,ketchup,2,39,56,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
ketchup_s5_w9_26,ketchup,5,9,26,gold_v2,negative,0,train,action_positive_physical_positive_task_negative,negative_unclassified,physical_task_negative,action_positive_physical_positive_task_negative,0.037403,18,True,1,1,strong,False,qpos_delta_strong(0.0374); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,YES,0.0,no,no,no,unknown,batch3,physical_task_negative,no,no,VIS caused physical opening but task completed
milk_s1_w8_25,milk,1,8,25,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.036838,18,False,1,1,strong,False,qpos_delta_strong(0.0368); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
milk_s4_w19_36,milk,4,19,36,gold_v2,positive,1,train,claim_usable,physical_bridge_positive,physical_bridge_positive,claim_usable,0.03789,18,False,1,1,strong,False,qpos_delta_strong(0.0379); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_bridge_positive,YES,no,"Strong: qpos>0.03, vis_open=18, action_bridge=1, phys_response=1"
milk_s5_w25_42,milk,5,25,42,gold_v2,negative,0,train,action_positive_physical_positive_task_negative,negative_unclassified,physical_task_negative,action_positive_physical_positive_task_negative,0.03799,18,True,1,1,strong,False,qpos_delta_strong(0.0380); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,no,,no,no,no,unknown,batch3,physical_task_negative,no,no,VIS caused physical opening but task completed
milk_s9_w5_22,milk,9,5,22,gold_v2,ignore,,ignore,polluted,mechanism_unclear,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
salad_dressing_s0_w31_48,salad_dressing,0,31,48,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
salad_dressing_s0_w7_24,salad_dressing,0,7,24,gold_v2,negative,0,train,action_positive_physical_positive_task_negative,negative_unclassified,physical_task_negative,action_positive_physical_positive_task_negative,0.036668,18,True,1,1,strong,False,qpos_delta_strong(0.0367); vis_open_full(18/18); action_bridge_detected; physical_response_labeled=1,strong,YES,0.0,no,no,no,unknown,batch3,physical_task_negative,no,no,VIS caused physical opening but task completed
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
bbq_sauce_s0_w15_32,bbq_sauce,0,15,32,gold_v2,ignore,,ignore,polluted,NOT_IN_TAXONOMY,infra_or_manual,polluted,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,infra_or_manual,no,no,"Polluted by infra (Xid31, GPU7, or bad rollout)"
bbq_sauce_s0_w5_22,bbq_sauce,0,5,22,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,1,True,0,0,none,True,vis_open_partial(1/18),weak,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
ketchup_s4_w28_45,ketchup,4,28,45,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,YES,0.0,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
milk_s1_w18_35,milk,1,18,35,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
milk_s8_w8_25,milk,8,8,25,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
orange_juice_s2_w17_34,orange_juice,2,17,34,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
salad_dressing_s5_w28_45,salad_dressing,5,28,45,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,YES,0.0,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
tomato_sauce_s1_w23_40,tomato_sauce,1,23,40,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,4e-06,1,True,0,0,none,True,vis_open_partial(1/18),weak,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
tomato_sauce_s3_w17_34,tomato_sauce,3,17,34,gold_v2,negative,0,train,no_action_bridge,negative_unclassified,no_action_bridge_negative,no_action_bridge,0.0,0,True,0,0,none,True,NONE,no_physical_evidence,no,,no,no,no,unknown,batch3b,no_action_bridge_negative,no,YES,VIS caused task failure without physical opening
ketchup_s2_w15_32_calib_v2,ketchup,2,15,32,calibration_v2_candidate,negative,0,needs_calibration,batch4 hard neg,NOT_IN_TAXONOMY,needs_calibration_v2,batch4 hard neg,,,,,,,,calibration_pending,pending_confirmation,no,,no,no,YES,calibration_v2_candidate,calibration_v2,needs_calibration_v2,pending,no,Calibration v2 candidate: matched 1R vs 3R needed
ketchup_s3_w25_42_calib_v2,ketchup,3,25,42,calibration_v2_candidate,negative,0,needs_calibration,batch4 hard neg,NOT_IN_TAXONOMY,needs_calibration_v2,batch4 hard neg,,,,,,,,calibration_pending,pending_confirmation,no,,no,no,YES,calibration_v2_candidate,calibration_v2,needs_calibration_v2,pending,no,Calibration v2 candidate: matched 1R vs 3R needed
