component,object_assumption,spatial_compatibility,goal_compatibility,libero10_compatibility,required_change,scientific_risk
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,MODEL_PATH hard-coded to openvla-7b-finetuned-libero-object,not compatible without suite parameter,not compatible without suite parameter,not compatible without suite parameter,parameterize suite checkpoint path and unnorm_key per config,wrong victim policy or action stats would invalidate cross-suite claim
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,benchmark suite hard-coded to libero_object,not compatible,not compatible,not compatible,add explicit suite argument and benchmark lookup,task_idx would refer to wrong benchmark
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,model.get_action_dim and decode use libero_object,not compatible,not compatible,not compatible,route unnorm_key from protocol victim_policies,decoded actions could be numerically wrong
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,object site derived by stripping pick_up_the_*_and_place_it_in_the_basket,low compatibility for spatial black bowl variants,not reliable for goal task names,not reliable for multi-stage LIBERO-10,replace with suite-specific object/site resolver and allow abstain,physical telemetry may point to wrong object
scripts/stageb/run_v2_vis_sc5_mlp_bridge.py,Teacher anchor is CLI audit-only but still required,posthoc only,posthoc only,posthoc only,keep offline only and never feed detector trigger,manual anchor leakage would invalidate detector transfer
src/gripper_attack/sc5_streaming_features_v2.py,25D features use gripper/eef/action history only,likely compatible if telemetry fields exist,likely compatible if telemetry fields exist,compatible for grasp phases but multi-event identity unresolved,add field validity audit per suite and fail closed on missing semantics,invalid features or semantic mismatch could create false triggers
src/gripper_attack/sc5_detector_runtime.py,Object-trained checkpoint mean/std/tau frozen by checkpoint,compatible as zero-shot detector only,compatible as zero-shot detector only,compatible as zero-shot detector only,do not retrain or recompute normalization for target suites,target-suite normalization would leak evaluation data
src/gripper_attack/libero_v4_env_factory.py,V4 exact env builder assumes bddl/render setup but not object suite task names,likely compatible pending bddl path check,likely compatible pending bddl path check,likely compatible pending bddl path check,add dry-run env construction manifest before rollouts,env construction crash or render mismatch could block smoke
src/gripper_attack/attack_adapter.py,VIS objective is suite-agnostic if unnorm_key/action stats are correct,compatible after unnorm_key parameterization,compatible after unnorm_key parameterization,compatible after unnorm_key parameterization,freeze target token/objective/epsilon and pass suite key explicitly,changing objective or stats would confound transfer test
src/gripper_attack/v3_generation_parity.py,classification requires unnorm stats and token/action mapping,compatible with suite stats,compatible with suite stats,compatible with suite stats,ensure suite-matched stats and action_dim,wrong execution class could mislabel OPEN/CLOSE
src/gripper_attack/openvla_libero_exec_spec.py,defines official object unnorm key constant,needs extension for spatial key,needs extension for goal key,needs extension for libero10 key,add explicit suite key mapping without changing gripper semantics,using object key globally would be a P0 protocol error
