VIS_OPEN,action_bridge_confounded,candidate_id,candidate_role,claim_usable,control_type,denominator_clean,denominator_plan,denominator_status,denominator_type,done,errors,exclusion_or_uncertain_reason,exclusion_reason,expected_role,finished,gpu_pair,inclusion_status,label_1r,label_action_bridge,label_confidence,label_physical_response,label_source,label_status,label_task_failure,label_use,label_vulnerability_ready,mechanism_status,phase_bin_proxy,precheck_status,provenance_note,provenance_status,qpos_label,qpos_opening_delta,qpos_phase_class,reason_selected,result,runtime_sec,sample_weight,source_batch,source_reason,started,state_id,status,targeted_v2_error,task_key,taxonomy,train_use,train_variant,vis_open_count,window_end,window_start
18/18,False,,raw_audit_group,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,far_closed_proxy,,complete,complete,strong,0.038042,,,,,1.0,batch1,,,0,,,ketchup,action_positive_physical_strong_task_positive,true,"V0_gold,V1_gold_plus_silver",18,33,16
18/18,False,,manual_merge_validated,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,near_closed_proxy,,split groups; merged via manual_trace_merge.csv,split groups; merged via manual_trace_merge.csv,strong,0.037905,,,,,1.0,batch1,,,0,,,butter,action_positive_physical_strong_task_positive,true,"V0_gold,V1_gold_plus_silver",18,46,29
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.032241,,,,,1.0,batch3,,,4,,,alphabet_soup,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,21,4
18.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,1,,1,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,strong,0.038119,,,,,1.0,batch3,,,5,,,bbq_sauce,action_positive_physical_positive_task_negative,true,"V0_gold,V1_gold_plus_silver",18,44,27
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.038021,,,,,1.0,batch3,,,9,,,bbq_sauce,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,39,22
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.037568,,,,,1.0,batch3,,,5,,,butter,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,42,25
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.038149,,,,,1.0,batch3,,,4,,,cream_cheese,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,45,28
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.037871,,,,,1.0,batch3,,,1,,,ketchup,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,38,21
18.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,1,,1,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,strong,0.037403,,,,,1.0,batch3,,,5,,,ketchup,action_positive_physical_positive_task_negative,true,"V0_gold,V1_gold_plus_silver",18,26,9
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.036838,,,,,1.0,batch3,,,1,,,milk,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,25,8
18.0,False,,,True,,True,,,standard,False,,,,,,,train_gold_v2,,1,,1,gold_v2,positive,1,train,1,,grasp_formation,,,unknown,strong,0.03789,,,,,1.0,batch3,,,4,,,milk,claim_usable,true,"V0_gold,V1_gold_plus_silver",18,36,19
18.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,1,,1,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,strong,0.03799,,,,,1.0,batch3,,,5,,,milk,action_positive_physical_positive_task_negative,true,"V0_gold,V1_gold_plus_silver",18,42,25
18.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,1,,1,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,strong,0.036668,,,,,1.0,batch3,,,0,,,salad_dressing,action_positive_physical_positive_task_negative,true,"V0_gold,V1_gold_plus_silver",18,24,7
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,6,,,alphabet_soup,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,57,40
1.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,0,,,bbq_sauce,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",1,22,5
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,4,,,ketchup,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,45,28
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,1,,,milk,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,35,18
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,8,,,milk,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,25,8
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,2,,,orange_juice,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,34,17
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,5,,,salad_dressing,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,45,28
1.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,4e-06,,,,,1.0,batch3b,,,1,,,tomato_sauce,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",1,40,23
0.0,False,,,False,,True,,,standard,True,,,,,,,train_gold_v2,,0,,0,gold_v2,negative,0,train,0,,grasp_formation,,,unknown,none,0.0,,,,,1.0,batch3b,,,3,,,tomato_sauce,no_action_bridge,true,"V0_gold,V1_gold_plus_silver",0,34,17
