file,line,matched_patterns,classification,gate_status,snippet,reason
reports/CODEX_OPENVLA_OFFICIAL_SEMANTICS_AUDIT.md,16,RAW_LT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,raw_gripper <  0.5 -> env_action_6 = +1.0 -> physical CLOSE,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_OPENVLA_OFFICIAL_SEMANTICS_AUDIT.md,17,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,env_action_6 < -0.5 -> physical OPEN,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_OPENVLA_OFFICIAL_SEMANTICS_AUDIT.md,18,GT_0P5;ENV_ACTION6_GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,env_action_6 > +0.5 -> physical CLOSE,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_OPENVLA_OFFICIAL_SEMANTICS_AUDIT.md,66,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,rule is `env_action_6 < -0.5`.,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_OPENVLA_OFFICIAL_SEMANTICS_AUDIT.md,76,RAW_LT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,- Some legacy scripts still contain old wording such as `raw_gripper < 0.5 =,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_1_READINESS_AUDIT_R3.md,36,LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,| Token-region audit | PASS | Attack adapter uses decoded action `>= 0.5` and env action `< -0.5` as OPEN; tests cover saturation token classification. |,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_1_SMOKE_R3_LIVE_AUDIT.md,54,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,- corrected open convention via `env_action_6 < -0.5`,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,14,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,LIBERO env_action_6 < -0.5 means physical OPEN,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,15,GT_0P5;ENV_ACTION6_GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,LIBERO env_action_6 >  0.5 means physical CLOSE,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,33,LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,return env_action_gripper < -0.5,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,46,LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"- current source has `is_env_open(grip_val) -> grip_val < -0.5`, consistent with the env-only smoke","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,62,GT_0P5;LT_NEG_0P5;ENV_ACTION6_GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"- P0: open count/streak use `env_action_6 > 0.5`, which is reversed. Smoke confirms OPEN is `< -0.5`.","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/CODEX_STAGEB_V1_STANDARD_CODE_AUDIT.md,97,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"The currently running 44-row selective rerun should not be stopped. However, its outputs should not be treated as standard v1 labels through the current postprocess/label builder. For temporary readout, use a hotfix postprocess that reconstructs metadata from summary + queue + trace, pairs by row/pair identity, uses `env_action_6 < -0.5` for OPEN, and computes shifted qpos by `step + 1`.","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/OPENVLA_CLEAN_POLICY_MARGIN_FEATURES.md,5,RAW_LT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"**Semantics**: raw_gripper < 0.5 = OPEN, >= 0.5 = CLOSE","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/OPENVLA_CLEAN_POLICY_MARGIN_FEATURES.md,17,RAW_LT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"- `open_close_decision`: 1 if raw_gripper < 0.5 (open), 0 otherwise","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,44,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper <  0.5 -> env_action_6 = +1.0 -> physical CLOSE,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,45,GT_0P5;RAW_GT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper >  0.5 -> env_action_6 = -1.0 -> physical OPEN,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,67,GT_0P5;RAW_GT_0P5,ALLOWED_IN_SPEC,PASS,OPEN  = raw_gripper >  0.5,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,68,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,CLOSE = raw_gripper <  0.5,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,75,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_IN_SPEC,PASS,OPEN  = env_action_6 < -0.5,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,76,GT_0P5;ENV_ACTION6_GT_0P5,ALLOWED_IN_SPEC,PASS,CLOSE = env_action_6 > +0.5,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,82,GT_0P5;RAW_GT_0P5,ALLOWED_IN_SPEC,PASS,open_token_ids  = {token_id | decoded raw_gripper >  0.5},Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,83,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,close_token_ids = {token_id | decoded raw_gripper <  0.5},Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,163,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper < 0.5 means OPEN,Executable spec or current alignment report documents canonical/invalid conventions.
reports/OPENVLA_LIBERO_EXECUTABLE_SPEC.md,165,GT_0P5;ENV_ACTION6_GT_0P5,ALLOWED_IN_SPEC,PASS,env_action_6 > 0.5 means OPEN,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_FULL_OPENVLA_ALIGNMENT_AUDIT.md,26,GT_0P5;RAW_GT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper >  0.5 -> normalized +1 -> env_action_6 -1 -> physical OPEN,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_FULL_OPENVLA_ALIGNMENT_AUDIT.md,27,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper <  0.5 -> normalized -1 -> env_action_6 +1 -> physical CLOSE,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_PATCHED_RERUN_COMPLETION_CHECKLIST.md,23,LT_NEG_0P5;ENV_ACTION6_LT_NEG_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,- [ ] Open convention: `env_action_6 < -0.5`,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,22,GT_0P5,ALLOWED_IN_SPEC,PASS,| raw_gripper OPEN threshold | `> 0.5` |,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,23,LT_NEG_0P5,ALLOWED_IN_SPEC,PASS,| env_action_6 OPEN | `< -0.5` (env = -1.0) |,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,24,GT_0P5,ALLOWED_IN_SPEC,PASS,| env_action_6 CLOSE | `> +0.5` (env = +1.0) |,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,26,GT_0P5;RAW_GT_0P5,ALLOWED_IN_SPEC,PASS,| open_token_ids | `{tid \| decoded raw > 0.5}` |,Executable spec or current alignment report documents canonical/invalid conventions.
reports/STAGEB_V1_1_RC1_FREEZE_REPORT.md,40,RAW_LT_0P5,ALLOWED_IN_SPEC,PASS,raw_gripper < 0.5 = OPEN            # WRONG,Executable spec or current alignment report documents canonical/invalid conventions.
reports/VIS_AUTO_WINDOW_BRIDGE_SMOKE_DRAFT.md,31,GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,- If clean_natural_open_ratio > 0.5: mark natural_release_confounded,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/VIS_FINAL_EXPERIMENT_SUMMARY.md,10,GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,"**On ketchup at eps6, prefix_margin is pre-repair candidate evidence; final claim pending canonical gripper semantics, prefix-loss repair, and provenance rerun.** The historical results below were computed with semantically inconsistent OPEN predicates (`adv_grip > 0.5` counts CLOSE, not OPEN) and a prefix-locked loss that masked gripper labels to -100 (zero gripper loss). Provenance must be regenerated from trace CSVs using the canonical helper.","Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
reports/VIS_FINAL_EXPERIMENT_SUMMARY.md,82,GT_0P5,ALLOWED_LEGACY_QUARANTINE,PASS_WITH_QUARANTINE,**Permanently forbidden**: broad LIBERO generalization; ProprioNoStep-guided attack; pre-release drop; cream/salad task-level claim; trained detector ready; direct `< 0.5` / `> 0.5` comparisons outside `gripper_semantics.py`.,"Historical report, legacy script, or non-RC1a diagnostic; not allowed as current Stage-B evidence without rewrite/regeneration."
