field_name,source_file,source_sha256,line_start,line_end,initial_value,update_condition,serialized_value,semantic_status,notes
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,32,36,UNKNOWN,32: ORACLE_DIR=$EVID/COMMAND_OPEN_ORACLE_T10/formal_v1\n33: while true; do\n34:     ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)\n35:     ORACLE_WORKERS=$(ps aux | grep -c 'run_oracle_env_gripper_worker' 2>/dev/null || echo 0)\n36:     ORACLE_FAILED=$(grep -r 'FAILED' $LOGDIR/oracle_full_gpu*.log 2>/dev/null | wc -l) || ORACLE_FAILED=0,episode_summary,FIELD_SERIALIZATION,    ORACLE_EP=$(find $ORACLE_DIR -name 'episode_summary.json' 2>/dev/null | wc -l)
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,81,85,UNKNOWN,"81:                 for pd in sorted(os.listdir(dp)):\n82:                     pid = int(pd.split(""_"")[2])\n83:                     ep = os.path.join(dp, pd, ""episode_summary.json"")\n84:                     if not os.path.exists(ep): continue\n85:                     d = json.load(open(ep))",episode_summary,FIELD_SERIALIZATION,"                    ep = os.path.join(dp, pd, ""episode_summary.json"")"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,94,98,False,"94:                                     env_open += 1\n95:                     data[k] = {""success"": d.get(""task_success"", False), ""n_steps"": d.get(""n_steps"", 0),\n96:                                ""attack_frames"": atk, ""env_open_frames"": env_open,\n97:                                ""oracle_override_active"": d.get(""oracle_protocol"", """") == ""env_gripper_force_open_continuous""}\n98:     return data",UNKNOWN,FIELD_REFERENCE,"                               ""attack_frames"": atk, ""env_open_frames"": env_open,"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,101,105,UNKNOWN,"101: tt = collect(TRUE_T10)\n102: \n103: tt_emit = {k: v for k, v in tt.items() if v.get(""attack_frames"", 0) > 0}\n104: tt_keys = set(tt_emit.keys())\n105: oracle_keys = set(oracle.keys())",UNKNOWN,FIELD_MUTATION,"tt_emit = {k: v for k, v in tt.items() if v.get(""attack_frames"", 0) > 0}"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,107,111,UNKNOWN,"107: common = tt_keys & oracle_keys\n108: oracle_sr = sum(1 for k in common if oracle[k][""success""]) / max(1, len(common))\n109: oracle_atk_rate = sum(1 for k in common if oracle[k][""attack_frames""] > 0) / max(1, len(common))\n110: \n111: print(f""Oracle audit: {len(common)} common keys, SR={oracle_sr:.3f}, atk_exec={oracle_atk_rate:.3f}"")",UNKNOWN,FIELD_MUTATION,"oracle_atk_rate = sum(1 for k in common if oracle[k][""attack_frames""] > 0) / max(1, len(common))"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,130,134,UNKNOWN,"130:         w.writerow({""fold"": k[0], ""state_id"": k[1], ""det_seed"": k[2], ""pert_seed"": k[3],\n131:                      ""oracle_success"": oracle[k][""success""], ""oracle_n_steps"": oracle[k][""n_steps""],\n132:                      ""oracle_atk_frames"": oracle[k][""attack_frames""],\n133:                      ""oracle_env_open_frames"": oracle[k][""env_open_frames""],\n134:                      ""tt_emit_step"": tt_emit.get(k, {}).get(""n_steps"", -1)})",UNKNOWN,FIELD_REFERENCE,"                     ""oracle_atk_frames"": oracle[k][""attack_frames""],"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,403,407,UNKNOWN,"403:                 if not os.path.isdir(dp): continue\n404:                 for pd in sorted(os.listdir(dp)):\n405:                     ep = os.path.join(dp, pd, ""episode_summary.json"")\n406:                     if not os.path.exists(ep): continue\n407:                     d = json.load(open(ep))",episode_summary,FIELD_SERIALIZATION,"                    ep = os.path.join(dp, pd, ""episode_summary.json"")"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,409,413,False,"409:                     data[k] = {""success"": d.get(""task_success"", False),\n410:                                ""n_steps"": d.get(""n_steps"", 0),\n411:                                ""attack_frames"": d.get(""attack_frames"", 0)}\n412:     return data\n413: ",UNKNOWN,FIELD_REFERENCE,"                               ""attack_frames"": d.get(""attack_frames"", 0)}"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,424,428,UNKNOWN,"424:     n = len(data)\n425:     sr = sum(1 for v in data.values() if v[""success""]) / max(1, n)\n426:     atk = sum(v[""attack_frames""] for v in data.values())\n427:     rows.append({""condition"": name, ""n"": n, ""success_rate"": round(sr, 4),\n428:                  ""total_attack_frames"": atk})",UNKNOWN,FIELD_MUTATION,"    atk = sum(v[""attack_frames""] for v in data.values())"
mixed,/mnt/sdc/dty_user/table1_sota_execution_v1/supervisor/sota_supervisor.sh,375d125f0d4d663b17c73254a8199d06aa1b2bf0d61cd43d8d1f02c4f7c9ea15,426,430,UNKNOWN,"426:     atk = sum(v[""attack_frames""] for v in data.values())\n427:     rows.append({""condition"": name, ""n"": n, ""success_rate"": round(sr, 4),\n428:                  ""total_attack_frames"": atk})\n429: \n430: with open(os.path.join(OUT, ""TABLE1_SOTA_PANEL_A.csv""), ""w"", newline="""") as f:",UNKNOWN,FIELD_REFERENCE,"                 ""total_attack_frames"": atk})"
