review_id,episode_key,suite,task_idx,state_id,mechanism_type,teacher_status,event_id,proposed_object_body,proposed_target_body_or_site,proposed_close_onset,proposed_grasp_established,proposed_lift_onset,proposed_stable_carry_start,proposed_window_start,proposed_anchor,proposed_window_end,proposed_release_onset,blind_video_path,teacher_only_timeline_path,teacher_only_overlay_path,reviewer_id,review_timestamp,object_identity_valid,target_identity_valid,event_exists,close_onset_valid,grasp_established_valid,lift_onset_valid,stable_carry_valid,window_start_valid,anchor_valid,window_end_valid,release_separation_valid,false_positive_carry,abstain_or_fail_closed_correct,corrected_object_body,corrected_target_body_or_site,corrected_close_onset,corrected_grasp_established,corrected_lift_onset,corrected_stable_carry_start,corrected_window_start,corrected_anchor,corrected_window_end,corrected_release_onset,disagreement_reason,reviewer_notes
review_000_event_00,libero_10|5|2|0|CLEAN,libero_10,5,2,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_000_libero_10_t05_s02.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_000_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_000_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_001_event_00,libero_10|5|4|0|CLEAN,libero_10,5,4,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_001_libero_10_t05_s04.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_001_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_001_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_002_event_00,libero_10|0|5|0|CLEAN,libero_10,0,5,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_002_libero_10_t00_s05.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_002_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_002_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_003_event_00,libero_10|1|8|0|CLEAN,libero_10,1,8,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_003_libero_10_t01_s08.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_003_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_003_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_004_event_00,libero_goal|6|4|0|CLEAN,libero_goal,6,4,single_object_pick_place,NO_RELEVANT_GRASP_EVENT,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_004_libero_goal_t06_s04.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_004_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_004_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_005_event_00,libero_goal|1|2|0|CLEAN,libero_goal,1,2,single_object_pick_place,ELIGIBLE_EVENT,libero_goal|1|2|0|CLEAN|event0,akita_black_bowl_1_main,flat_stove_1_default_site,31,31,50,50,29,31,77,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_005_libero_goal_t01_s02.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_005_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_005_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_006_event_00,libero_goal|5|3|0|CLEAN,libero_goal,5,3,push_or_planar,CORRECT_SEMANTIC_ABSTAIN,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_006_libero_goal_t05_s03.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_006_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_006_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_007_event_00,libero_goal|7|2|0|CLEAN,libero_goal,7,2,articulated_only,CORRECT_SEMANTIC_ABSTAIN,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_007_libero_goal_t07_s02.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_007_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_007_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_008_event_00,libero_goal|3|9|0|CLEAN,libero_goal,3,9,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_008_libero_goal_t03_s09.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_008_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_008_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
review_009_event_00,libero_goal|3|2|0|CLEAN,libero_goal,3,2,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,,,,,,,,,,,,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/videos/review_009_libero_goal_t03_s02.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_timelines/review_009_event_00_teacher_timeline.csv,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_package/teacher_overlays/review_009_event_00_teacher_overlay.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,
