review_round_id,review_id,episode_key,suite,task_idx,state_id,original_teacher_status,owner_adjudication_source,owner_event_exists,owner_object_identity_valid,owner_target_identity_valid,owner_close_onset_valid,owner_grasp_established_valid,owner_lift_onset_valid,owner_stable_carry_valid,owner_window_start_valid,owner_anchor_valid,owner_window_end_valid,owner_false_positive_carry,owner_abstain_or_fail_closed_correct,corrected_close_onset,corrected_grasp_established,corrected_lift_onset,corrected_stable_carry_start,corrected_window_start,corrected_anchor,corrected_window_end,owner_notes
h2_diagnostic_review_round_v2_1_20260621,v2_dev_000_event_00,libero_spatial|4|1|0|CLEAN,libero_spatial,4,1,ELIGIBLE_EVENT,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,Accepted by owner default subject to deterministic physical regression checks.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_001_event_00,libero_spatial|9|3|0|CLEAN,libero_spatial,9,3,ELIGIBLE_EVENT,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,Accepted by owner default subject to deterministic physical regression checks.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_002_event_00,libero_spatial|3|4|0|CLEAN,libero_spatial,3,4,ELIGIBLE_EVENT,explicit_owner_override_20260622,YES,YES,YES,YES,YES,NO_CURRENT_TIMING_CORRECTED,NO_CURRENT_TIMING_CORRECTED,YES_APPROX,YES_APPROX,YES_APPROX_CORRECTED,NO,,50,60,60,60,48,50,72,Owner correction: window_start about 48; close/anchor about 50; stable grasp and lift onset about 60; window_end about 72.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_003_event_00,libero_spatial|2|9|0|CLEAN,libero_spatial,2,9,ELIGIBLE_EVENT,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,Accepted by owner default subject to deterministic physical regression checks.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_004_event_00,libero_goal|1|4|0|CLEAN,libero_goal,1,4,ELIGIBLE_EVENT,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,Accepted by owner default subject to deterministic physical regression checks.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_005_event_00,libero_goal|4|5|0|CLEAN,libero_goal,4,5,ELIGIBLE_EVENT,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,,,Accepted by owner default subject to deterministic physical regression checks.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_006_event_00,libero_goal|0|5|0|CLEAN,libero_goal,0,5,CORRECT_SEMANTIC_ABSTAIN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_007_event_00,libero_goal|0|7|0|CLEAN,libero_goal,0,7,CORRECT_SEMANTIC_ABSTAIN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_008_event_00,libero_10|5|8|0|CLEAN,libero_10,5,8,TARGET_BINDING_AMBIGUOUS,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_009_event_00,libero_10|5|0|0|CLEAN,libero_10,5,0,TARGET_BINDING_AMBIGUOUS,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_010_event_00,libero_10|9|6|0|CLEAN,libero_10,9,6,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,v2_dev_011_event_00,libero_10|1|5|0|CLEAN,libero_10,1,5,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,review_000_event_00,libero_10|5|2|0|CLEAN,libero_10,5,2,TARGET_BINDING_AMBIGUOUS,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
h2_diagnostic_review_round_v2_1_20260621,review_001_event_00,libero_10|5|4|0|CLEAN,libero_10,5,4,TARGET_BINDING_AMBIGUOUS,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,,,,,,,,,,NO,YES,,,,,,,,Owner accepted fail-closed/abstain behavior for all 24 non-accepted rows.
