review_id,episode_key,owner_source,owner_event_exists,owner_false_positive_carry,repaired_teacher_status,repaired_event_count,close_onset_step,grasp_established_step,lift_onset_step,stable_carry_start,teacher_window_end,audit_flags
v2_dev_000_event_00,libero_spatial|4|1|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,61,62,91,91,133,
v2_dev_001_event_00,libero_spatial|9|3|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,42,43,57,57,106,
v2_dev_002_event_00,libero_spatial|3|4|0|CLEAN,explicit_owner_override_20260622,YES,NO,ELIGIBLE_EVENT,1,50,51,60,60,71,
v2_dev_003_event_00,libero_spatial|2|9|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,54,55,73,73,96,
v2_dev_004_event_00,libero_goal|1|4|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,45,46,55,55,90,
v2_dev_005_event_00,libero_goal|4|5|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,34,35,46,46,90,
v2_dev_006_event_00,libero_goal|0|5|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,CORRECT_SEMANTIC_ABSTAIN,0,,,,,,
v2_dev_007_event_00,libero_goal|0|7|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,CORRECT_SEMANTIC_ABSTAIN,0,,,,,,
v2_dev_008_event_00,libero_10|5|8|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,TARGET_BINDING_AMBIGUOUS,0,,,,,,
v2_dev_009_event_00,libero_10|5|0|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,TARGET_BINDING_AMBIGUOUS,0,,,,,,
v2_dev_010_event_00,libero_10|9|6|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,0,,,,,,
v2_dev_011_event_00,libero_10|1|5|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,0,,,,,,
review_000_event_00,libero_10|5|2|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,TARGET_BINDING_AMBIGUOUS,0,,,,,,
review_001_event_00,libero_10|5|4|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,TARGET_BINDING_AMBIGUOUS,0,,,,,,
review_002_event_00,libero_10|0|5|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,0,,,,,,
review_003_event_00,libero_10|1|8|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,0,,,,,,
review_004_event_00,libero_goal|6|4|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,NO_RELEVANT_GRASP_EVENT,0,,,,,,
review_005_event_00,libero_goal|1|2|0|CLEAN,owner_default_accept_existing_ai_assisted_recommendation_unless_regression_contradicts,YES,NO,ELIGIBLE_EVENT,1,31,32,47,47,77,
review_006_event_00,libero_goal|5|3|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,CORRECT_SEMANTIC_ABSTAIN,0,,,,,,
review_007_event_00,libero_goal|7|2|0|CLEAN,owner_fail_closed_override_20260622,NO_OFFICIAL_ACCEPTED_EVENT,NO,CORRECT_SEMANTIC_ABSTAIN,0,,,,,,
