task_name,scene_id,state_id,seed,run_id,split,reason
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s0,0,0,obj100_alphabet_soup_alphabet_soup_s0,train,scene_hash=32
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s1,1,0,obj100_alphabet_soup_alphabet_soup_s1,test,scene_hash=89
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s2,2,0,obj100_alphabet_soup_alphabet_soup_s2,val,scene_hash=83
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s3,3,0,obj100_alphabet_soup_alphabet_soup_s3,test,scene_hash=86
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s4,4,0,obj100_alphabet_soup_alphabet_soup_s4,train,scene_hash=47
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s5,5,0,obj100_alphabet_soup_alphabet_soup_s5,train,scene_hash=10
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s6,6,0,obj100_alphabet_soup_alphabet_soup_s6,train,scene_hash=29
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s7,7,0,obj100_alphabet_soup_alphabet_soup_s7,train,scene_hash=12
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s8,8,0,obj100_alphabet_soup_alphabet_soup_s8,val,scene_hash=77
pick_up_the_alphabet_soup_and_place_it_in_the_basket,pick_up_the_alphabet_soup_and_place_it_in_the_basket_s9,9,0,obj100_alphabet_soup_alphabet_soup_s9,train,scene_hash=42
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s0,0,0,obj100_cream_cheese_cream_cheese_s0,train,scene_hash=66
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s1,1,0,obj100_cream_cheese_cream_cheese_s1,train,scene_hash=37
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s2,2,0,obj100_cream_cheese_cream_cheese_s2,val,scene_hash=75
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s3,3,0,obj100_cream_cheese_cream_cheese_s3,train,scene_hash=8
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s4,4,0,obj100_cream_cheese_cream_cheese_s4,train,scene_hash=22
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s5,5,0,obj100_cream_cheese_cream_cheese_s5,train,scene_hash=44
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s6,6,0,obj100_cream_cheese_cream_cheese_s6,train,scene_hash=22
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s7,7,0,obj100_cream_cheese_cream_cheese_s7,val,scene_hash=81
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s8,8,0,obj100_cream_cheese_cream_cheese_s8,train,scene_hash=59
pick_up_the_cream_cheese_and_place_it_in_the_basket,pick_up_the_cream_cheese_and_place_it_in_the_basket_s9,9,0,obj100_cream_cheese_cream_cheese_s9,train,scene_hash=20
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s0,0,0,obj100_salad_dressing_salad_dressing_s0,train,scene_hash=49
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s1,1,0,obj100_salad_dressing_salad_dressing_s1,train,scene_hash=44
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s2,2,0,obj100_salad_dressing_salad_dressing_s2,train,scene_hash=41
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s3,3,0,obj100_salad_dressing_salad_dressing_s3,train,scene_hash=59
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s4,4,0,obj100_salad_dressing_salad_dressing_s4,train,scene_hash=34
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s5,5,0,obj100_salad_dressing_salad_dressing_s5,train,scene_hash=47
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s6,6,0,obj100_salad_dressing_salad_dressing_s6,train,scene_hash=36
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s7,7,0,obj100_salad_dressing_salad_dressing_s7,val,scene_hash=82
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s8,8,0,obj100_salad_dressing_salad_dressing_s8,train,scene_hash=15
pick_up_the_salad_dressing_and_place_it_in_the_basket,pick_up_the_salad_dressing_and_place_it_in_the_basket_s9,9,0,obj100_salad_dressing_salad_dressing_s9,test,scene_hash=95
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s0,0,0,obj100_bbq_sauce_bbq_sauce_s0,train,scene_hash=59
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s1,1,0,obj100_bbq_sauce_bbq_sauce_s1,test,scene_hash=94
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s2,2,0,obj100_bbq_sauce_bbq_sauce_s2,test,scene_hash=91
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s3,3,0,obj100_bbq_sauce_bbq_sauce_s3,train,scene_hash=48
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s4,4,0,obj100_bbq_sauce_bbq_sauce_s4,val,scene_hash=79
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s5,5,0,obj100_bbq_sauce_bbq_sauce_s5,train,scene_hash=22
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s6,6,0,obj100_bbq_sauce_bbq_sauce_s6,train,scene_hash=19
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s7,7,0,obj100_bbq_sauce_bbq_sauce_s7,train,scene_hash=56
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s8,8,0,obj100_bbq_sauce_bbq_sauce_s8,train,scene_hash=52
pick_up_the_bbq_sauce_and_place_it_in_the_basket,pick_up_the_bbq_sauce_and_place_it_in_the_basket_s9,9,0,obj100_bbq_sauce_bbq_sauce_s9,test,scene_hash=92
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s0,0,0,obj100_ketchup_ketchup_s0,train,scene_hash=30
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s1,1,0,obj100_ketchup_ketchup_s1,train,scene_hash=17
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s2,2,0,obj100_ketchup_ketchup_s2,train,scene_hash=7
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s3,3,0,obj100_ketchup_ketchup_s3,test,scene_hash=87
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s4,4,0,obj100_ketchup_ketchup_s4,train,scene_hash=58
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s5,5,0,obj100_ketchup_ketchup_s5,train,scene_hash=38
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s6,6,0,obj100_ketchup_ketchup_s6,train,scene_hash=50
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s7,7,0,obj100_ketchup_ketchup_s7,test,scene_hash=86
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s8,8,0,obj100_ketchup_ketchup_s8,train,scene_hash=32
pick_up_the_ketchup_and_place_it_in_the_basket,pick_up_the_ketchup_and_place_it_in_the_basket_s9,9,0,obj100_ketchup_ketchup_s9,val,scene_hash=81
pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_basket_s0,0,0,obj100_tomato_sauce_tomato_sauce_s0,val,scene_hash=79
pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_basket_s1,1,0,obj100_tomato_sauce_tomato_sauce_s1,train,scene_hash=43
pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_basket_s2,2,0,obj100_tomato_sauce_tomato_sauce_s2,train,scene_hash=1
pick_up_the_tomato_sauce_and_place_it_in_the_basket,pick_up_the_tomato_sauce_and_place_it_in_the_basket_s3,3,0,obj100_tomato_sauce_tomato_sauce_s3,train,scene_hash=21
