experiment_id,phase,table_id,cell_id,population_id,suite,mechanism_type,expected_parent_n,condition,training_seed_n,attack_seed_n,eval_seed_n,expected_branch_n,primary_contrast,manual_audit_required,artifact_manifest_path,authorization_scope,abort_rule,rollout_authorized
P0_CLAIM_FREEZE,P0,ALL,ALL,N/A,ALL,N/A,0,N/A,0,0,0,0,N/A,false,docs/paper_driven_multisuite_confirmatory_v1/PAPER_CLAIM_FREEZE.md,planning_only,planning_review_reject,false
P1_LABEL_V2_BUILD,P1,Table2,T2_LABEL_V2_ALL,ALL,ALL,ALL,2000,CLEAN2000_LABEL_V2,0,0,0,0,N/A,true,TBD,label_builder_cpu_only,row_count_or_sha_mismatch,false
P1_SPLIT_MANIFESTS,P1,Table2,T2_SPLITS,ALL,ALL,ALL,2000,SPLIT_FREEZE,0,0,0,0,N/A,false,TBD,split_builder_cpu_only,parent_or_state_leakage,false
P2_OBJECT_ONLY_ELIGIBLE,P2,Table2,T2_OBJECT_ONLY_ELIGIBLE,DETECTOR_ELIGIBLE,ALL,gripper_transfer,TBD_AFTER_GATE_B,DETECTOR_EVAL_OBJECT_ONLY,3,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_OBJECT_ONLY_SAFETY,P2,Table2,T2_OBJECT_ONLY_SAFETY,DETECTOR_SAFETY,ALL,unsupported_or_ineligible,TBD_AFTER_GATE_B,DETECTOR_EVAL_OBJECT_ONLY,3,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_OBJECT_ONLY_MULTI_EVENT,P2,Table2,T2_OBJECT_ONLY_MULTI_EVENT,DETECTOR_MULTI_EVENT,ALL,multi_event,TBD_AFTER_GATE_B,DETECTOR_EVAL_OBJECT_ONLY,3,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_POOLED_ELIGIBLE,P2,Table2,T2_POOLED_ELIGIBLE,DETECTOR_ELIGIBLE,ALL,gripper_transfer,TBD_AFTER_GATE_B,DETECTOR_EVAL_POOLED,3,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_POOLED_SAFETY,P2,Table2,T2_POOLED_SAFETY,DETECTOR_SAFETY,ALL,unsupported_or_ineligible,TBD_AFTER_GATE_B,DETECTOR_EVAL_POOLED,3,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_LOSO_ELIGIBLE,P2,Table2,T2_LOSO_ELIGIBLE,DETECTOR_ELIGIBLE,ALL,gripper_transfer,TBD_AFTER_GATE_B,DETECTOR_EVAL_LOSO,12,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
P2_LOSO_SAFETY,P2,Table2,T2_LOSO_SAFETY,DETECTOR_SAFETY,ALL,unsupported_or_ineligible,TBD_AFTER_GATE_B,DETECTOR_EVAL_LOSO,12,0,0,0,N/A,false,TBD,detector_cpu_only,gate_c_fail,false
