teacher_executed,teacher_run_id,teacher_version,ontology_version,resolver_version,episode_key,suite,task_idx,state_id,source_episode_relpath,source_episode_sha,mechanism_type,mechanism_eligible,object_binding_status,target_binding_status,teacher_status,teacher_semantic_abstain,abstain_reason,event_count,manual_review_required
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_10|5|2|0|CLEAN,libero_10,5,2,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t05_s02,171a0d1429c0042219fc98e6db596693cd6c33b08d680963a97f148b8e1cab17,single_object_pick_place,True,BOUND_BDDL_ONTOLOGY,BOUND_BDDL_ONTOLOGY,ELIGIBLE_EVENT,False,,1,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_10|5|4|0|CLEAN,libero_10,5,4,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t05_s04,4784b0628ecbe8f7583fba7a4815e1101fa22e8afcc907e092117c504da851d9,single_object_pick_place,True,BOUND_BDDL_ONTOLOGY,BOUND_BDDL_ONTOLOGY,ELIGIBLE_EVENT,False,,1,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_10|0|5|0|CLEAN,libero_10,0,5,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t00_s05,d8424efe30d33c8b4f18397442c0498274bc268aefc716eddd5d0cb0a67568f2,multi_object_transfer,False,NOT_APPLICABLE,NOT_APPLICABLE,MULTI_EVENT_AUDIT_ONLY,True,supplementary_event_level_audit_not_primary_denominator,0,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_10|1|8|0|CLEAN,libero_10,1,8,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t01_s08,3af85e2f99979f79c37f5073a3d76b24d0cbe263f8cd80084395198650562118,multi_object_transfer,False,NOT_APPLICABLE,NOT_APPLICABLE,MULTI_EVENT_AUDIT_ONLY,True,supplementary_event_level_audit_not_primary_denominator,0,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|6|4|0|CLEAN,libero_goal,6,4,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t06_s04,1113e46c3b08532767f3cc65c8ac0937c56cfa5a8e721e0fb490aa954a15aca5,single_object_pick_place,True,BOUND_BDDL_ONTOLOGY,BOUND_BDDL_ONTOLOGY,ELIGIBLE_EVENT,False,,1,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|1|2|0|CLEAN,libero_goal,1,2,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t01_s02,3bc25127767ad98dc25240ad3e76d784d6ea1af5dbf2e5d72f5cfed34752066d,single_object_pick_place,True,BOUND_BDDL_ONTOLOGY,BOUND_BDDL_ONTOLOGY,ELIGIBLE_EVENT,False,,1,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|5|3|0|CLEAN,libero_goal,5,3,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t05_s03,a629e9e3253a226f9cff056faa1074ddca4d6671fea1e920df98c5cbe39517f8,push_or_planar,False,NOT_APPLICABLE,NOT_APPLICABLE,CORRECT_SEMANTIC_ABSTAIN,True,mechanism_not_supported_for_primary_teacher:push_or_planar,0,False
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|7|2|0|CLEAN,libero_goal,7,2,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t07_s02,2003bd484fbf8cbaf74a0caa4e32283020aabf63766ec288a966390f81bdc6c7,articulated_only,False,NOT_APPLICABLE,NOT_APPLICABLE,CORRECT_SEMANTIC_ABSTAIN,True,mechanism_not_supported_for_primary_teacher:articulated_only,0,False
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|3|9|0|CLEAN,libero_goal,3,9,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t03_s09,e6a5021441332d14dd36f34c5538d13086dca7c66b674036cca90fce38dd128c,mixed_articulated_pick_place,False,NOT_APPLICABLE,NOT_APPLICABLE,MULTI_EVENT_AUDIT_ONLY,True,supplementary_event_level_audit_not_primary_denominator,0,True
True,layer1_blind_review_68f02dd_20260619,cross_suite_teacher_v1,cross_suite_task_ontology_v1,cross_suite_resolver_v1,libero_goal|3|2|0|CLEAN,libero_goal,3,2,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t03_s02,712b823be98aa52d32729232520365de528eda3f1761f1e1e3bdcfa1a737c40b,mixed_articulated_pick_place,False,NOT_APPLICABLE,NOT_APPLICABLE,MULTI_EVENT_AUDIT_ONLY,True,supplementary_event_level_audit_not_primary_denominator,0,True
