review_round_id,review_stratum,proposal_version,resolver_commit,ontology_sha256,teacher_schema_sha256,physics_config_sha256,timing_contract_sha256,source_queue_sha256,teacher_overlay_manifest_sha256,review_id,episode_key,suite,task_idx,state_id,mechanism_type,teacher_status,object_binding_status,target_binding_status,abstain_reason,event_id,proposed_object_body,proposed_target_body_or_site,proposed_close_onset,proposed_grasp_established,proposed_lift_onset,proposed_stable_carry_start,proposed_window_start,proposed_anchor,proposed_window_end,proposed_release_onset,raw_video_path,teacher_only_timeline_path,teacher_only_timeline_status,teacher_only_overlay_path,teacher_only_overlay_status,video_status,reviewer_id,review_timestamp,object_identity_valid,target_identity_valid,event_exists,close_onset_valid,grasp_established_valid,lift_onset_valid,stable_carry_valid,window_start_valid,anchor_valid,window_end_valid,release_separation_valid,false_positive_carry,abstain_or_fail_closed_correct,corrected_object_body,corrected_target_body_or_site,corrected_close_onset,corrected_grasp_established,corrected_lift_onset,corrected_stable_carry_start,corrected_window_start,corrected_anchor,corrected_window_end,corrected_release_onset,disagreement_reason,reviewer_notes
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_000_event_00,libero_spatial|4|1|0|CLEAN,libero_spatial,4,1,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_spatial|4|1|0|CLEAN|event0,akita_black_bowl_1_main,plate_1_default_site,58,58,94,94,56,58,133,153,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t04_s01/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_000_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_000_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_001_event_00,libero_spatial|9|3|0|CLEAN,libero_spatial,9,3,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_spatial|9|3|0|CLEAN|event0,akita_black_bowl_1_main,plate_1_default_site,42,42,61,61,40,42,106,,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t09_s03/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_001_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_001_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_002_event_00,libero_spatial|3|4|0|CLEAN,libero_spatial,3,4,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_spatial|3|4|0|CLEAN|event0,akita_black_bowl_1_main,plate_1_default_site,50,50,64,64,48,50,71,,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s04/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_002_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_002_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_003_event_00,libero_spatial|2|9|0|CLEAN,libero_spatial,2,9,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_spatial|2|9|0|CLEAN|event0,akita_black_bowl_1_main,plate_1_default_site,54,54,76,76,52,54,96,112,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/B/waveB_libero_spatial_t02_s09/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_003_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_003_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_004_event_00,libero_goal|1|4|0|CLEAN,libero_goal,1,4,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_goal|1|4|0|CLEAN|event0,akita_black_bowl_1_main,flat_stove_1_default_site,42,42,59,59,40,42,90,,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t01_s04/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_004_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_004_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_005_event_00,libero_goal|4|5|0|CLEAN,libero_goal,4,5,single_object_pick_place,ELIGIBLE_EVENT,BOUND_STRUCTURED_FALLBACK,BOUND_STRUCTURED_FALLBACK,,libero_goal|4|5|0|CLEAN|event0,akita_black_bowl_1_main,wooden_cabinet_1_cabinet_top,34,34,49,49,32,34,90,,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t04_s05/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_005_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_005_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_006_event_00,libero_goal|0|5|0|CLEAN,libero_goal,0,5,articulated_only,CORRECT_SEMANTIC_ABSTAIN,NOT_APPLICABLE,NOT_APPLICABLE,mechanism_not_supported_for_primary_teacher:articulated_only,,,,,,,,,,,,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t00_s05/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_006_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_006_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_007_event_00,libero_goal|0|7|0|CLEAN,libero_goal,0,7,articulated_only,CORRECT_SEMANTIC_ABSTAIN,NOT_APPLICABLE,NOT_APPLICABLE,mechanism_not_supported_for_primary_teacher:articulated_only,,,,,,,,,,,,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t00_s07/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_007_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_007_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_008_event_00,libero_10|5|8|0|CLEAN,libero_10,5,8,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,,,,,,,,,,,,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t05_s08/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_008_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_008_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
h2_diagnostic_review_round_v2_20260620,DEV_CANARY,h2_diagnostic_review_package_v2,6eb88630f20f99aac4d64356974b5a18345c3673,89bd296b15525c48a4fbd3be84eb4a8c0b269ca11170cfe901b449cc1bb77359,ac2ffb8b064a502f8b5cab7b0c4183914701c7bf21443dd01189e023403ebca8,1f5e0dbeb0e227d2c6708a310ef171863c216bf84a5cddda62af992766700059,18b21f9e032fdba410e291f67edba60e649b2c6c4ae3d2f33df08a7c31f6ef60,435802e43d53f3777b825e2b34c8203bd6b7a350a13c164856072160913f6903,01d951d5fc6523a15137f84fcfe6a8cade58bcfdf1c86d75397f1b52713fb3ba,v2_dev_009_event_00,libero_10|5|0|0|CLEAN,libero_10,5,0,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,,,,,,,,,,,,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t05_s00/rollout_raw.mp4,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_timelines/v2_dev_009_event_00_teacher_timeline.csv,WROTE,/data/liuyu/layer1_outputs/h2_layer1_resolver_6eb8863_20260620/diagnostic_review_round_v2/teacher_overlays/v2_dev_009_event_00_teacher_overlay.mp4,WROTE,source_path,,,,,,,,,,,,,,,,,,,,,,,,,,,
