finding_id,area,file,status,severity,evidence,action
F001,executable_spec,src/gripper_attack/openvla_libero_exec_spec.py,PASS,P0,"Defines official raw>=0.5 -> env=-1 -> OPEN and raw<0.5 -> env=+1 -> CLOSE truth table.","Use as single source of truth for current Stage-B code."
F002,compat_wrapper,src/gripper_attack/gripper_semantics.py,PASS,P0,"Wrapper now re-exports executable spec helpers and constants.","Legacy imports can continue while new code migrates to openvla_libero_exec_spec."
F003,token_region,src/gripper_attack/attack_adapter.py,PASS,P0,"get_gripper_region_by_decoded_action classifies OPEN tokens by decoded raw action >=0.5 and env_gripper_is_open(env).","prefix_locked_gripper_open_margin now receives corrected physical-OPEN token ids."
F004,stageb_runner_counter,scripts/run_stageb_vis_labeling.py,PASS,P0,"Open count/streak uses env_gripper_is_open helper instead of env_action positive sign.","Current open counters follow env_action_6 < -0.5."
F005,stageb_postprocess,scripts/stageb/postprocess_patched_traces_v1.py,PASS_WITH_SCOPE_LIMIT,P0,"Patched postprocess uses env_gripper_is_open helper for open count/streak.","Only outputs produced after spec repair should be label-eligible."
F006,hotfix_postprocess,scripts/diagnostics/run_patched_rerun_postprocess_hotfix.py,PASS_WITH_SCOPE_LIMIT,P0,"Hotfix postprocess uses env_action_6 < -0.5 via helper.","Treat pre-spec hotfix labels as quarantine unless regenerated."
F007,proprionostep_runner,scripts/vis_rollout_proprionostep_triggered.py,PARTIAL_FIX,P0,"oracle_open and sustained_command_open_proxy now write ENV_GRIPPER_OPEN_VALUE (-1.0); final_env_gripper is recomputed after override; open summary uses helper.","Still not a Stage-B standard runner: qpos uses sim.data.qpos[-2:] and qpos_source is not obs[robot0_gripper_qpos]."
F008,policy_only_fast_vis,scripts/diagnostics/run_policy_only_vis_audit.py,PARTIAL_FIX,P1,"Policy-only target gripper changed to raw=1.0 and VIS_OPEN uses raw_gripper_is_open; unnorm_key set to libero_object.","Do not use policy-only output as gold physical evidence."
F009,artifact_rich_runner,scripts/run_official_eval_artifact_rich.py,PARTIAL_FIX,P1,"oracle_open and sustained_command_open_proxy now use ENV_GRIPPER_OPEN_VALUE (-1.0).","Old outputs from this runner remain pre-spec and must be quarantined."
F010,clean_trace_recovery,scripts/run_clean_trace_recovery.py,PARTIAL_FIX,P1,"Env open/close feature counts now use spec helpers.","Still legacy/nonstandard for current labels: uses chat-style prompt and sim.data.qpos[-2:] qpos."
F011,legacy_detector_docs,scripts/evaluate_rule_based_early_grasp_trigger.py,LEGACY_QUARANTINE,P1,"Docstrings still state raw_gripper<0.5/env_gripper>0 means OPEN.","Do not use this detector interpretation without semantic rewrite."
F012,legacy_detector_docs,scripts/evaluate_early_grasp_detector.py,LEGACY_QUARANTINE,P1,"Docstring still states raw_gripper<0.5 means OPEN.","Do not use this detector interpretation without semantic rewrite."
F013,legacy_provenance_audit,scripts/diagnostics/audit_prefix_margin_provenance.py,LEGACY_QUARANTINE,P1,"Report text still emits raw_gripper<0.5/env_gripper>0 as OPEN.","Any reports generated by this script need regeneration after semantic repair."
F014,legacy_margin_cache_doc,scripts/diagnostics/export_openvla_clean_policy_margin_cache.py,LEGACY_QUARANTINE,P1,"Embedded markdown says raw_gripper<0.5 is OPEN.","Do not treat cached open/close margin features as current without rebuild."
F015,qpos_standard,project_wide,OPEN_RISK,P0,"Spec requires obs[robot0_gripper_qpos] and shifted step+1 qpos for new labels; several legacy runners still use sim.data.qpos[-2:].","Block new Stage-B labels until runner/postprocess source confirms obs qpos and shifted response."
F016,old_stageb_labels,stageb_outputs,QUARANTINED,P0,"Old overnight labels and 44-row patched rerun were generated before executable spec freeze or while OPEN objective was suspect.","Keep as inverted-objective diagnostic only; do not train or claim VIS selectivity from them."
