trace_id,task_key,state_id,seed,split,logical_group_id,n_close_candidates,n_tp_qualifying,teacher_p_step
trace_alphabet_soup_s1_w0_10_s20d_clean_seed0_job230571,alphabet_soup,1,0,train,alphabet_soup_s1_seed0,10,1,122
trace_alphabet_soup_s17_w0_10_s20d_clean_seed0_job330008,alphabet_soup,17,0,train,alphabet_soup_s17_seed0,13,1,49
trace_alphabet_soup_s19_w0_10_s20d_clean_seed0_job330010,alphabet_soup,19,0,train,alphabet_soup_s19_seed0,2,1,58
trace_alphabet_soup_s21_w0_10_s20d_clean_seed0_job330012,alphabet_soup,21,0,train,alphabet_soup_s21_seed0,12,1,140
trace_alphabet_soup_s22_w0_10_s20d_clean_seed0_job330013,alphabet_soup,22,0,train,alphabet_soup_s22_seed0,4,1,70
trace_alphabet_soup_s25_w0_10_s20d_clean_seed0_job330016,alphabet_soup,25,0,train,alphabet_soup_s25_seed0,2,1,71
trace_alphabet_soup_s27_w0_10_s20d_clean_seed0_job330018,alphabet_soup,27,0,train,alphabet_soup_s27_seed0,29,1,118
trace_alphabet_soup_s29_w0_10_s20d_clean_seed0_job330020,alphabet_soup,29,0,train,alphabet_soup_s29_seed0,4,1,59
trace_alphabet_soup_s32_w0_10_s20d_clean_seed0_job330023,alphabet_soup,32,0,train,alphabet_soup_s32_seed0,14,1,237
trace_alphabet_soup_s35_w0_10_s20d_clean_seed0_job330026,alphabet_soup,35,0,train,alphabet_soup_s35_seed0,13,1,82
trace_alphabet_soup_s37_w0_10_s20d_clean_seed0_job330028,alphabet_soup,37,0,train,alphabet_soup_s37_seed0,2,1,50
trace_alphabet_soup_s38_w0_10_s20d_clean_seed0_job330029,alphabet_soup,38,0,train,alphabet_soup_s38_seed0,15,1,164
trace_alphabet_soup_s39_w0_10_s20d_clean_seed0_job330030,alphabet_soup,39,0,val,alphabet_soup_s39_seed0,3,1,64
trace_alphabet_soup_s41_w0_10_s20d_clean_seed0_job330032,alphabet_soup,41,0,val,alphabet_soup_s41_seed0,2,1,64
trace_alphabet_soup_s42_w0_10_s20d_clean_seed0_job330033,alphabet_soup,42,0,val,alphabet_soup_s42_seed0,6,1,82
trace_alphabet_soup_s43_w0_10_s20d_clean_seed0_job330034,alphabet_soup,43,0,test,alphabet_soup_s43_seed0,6,1,53
trace_alphabet_soup_s47_w0_10_s20d_clean_seed0_job330038,alphabet_soup,47,0,test,alphabet_soup_s47_seed0,2,1,53
trace_alphabet_soup_s49_w0_10_s20d_clean_seed0_job330040,alphabet_soup,49,0,test,alphabet_soup_s49_seed0,8,1,104
trace_bbq_sauce_s0_w0_10_s20d_clean_seed0_job250001,bbq_sauce,0,0,train,bbq_sauce_s0_seed0,7,1,85
trace_bbq_sauce_s11_w0_10_s20d_clean_seed0_job330042,bbq_sauce,11,0,train,bbq_sauce_s11_seed0,4,1,178
trace_bbq_sauce_s12_w0_10_s20d_clean_seed0_job330043,bbq_sauce,12,0,train,bbq_sauce_s12_seed0,17,1,253
trace_bbq_sauce_s13_w0_10_s20d_clean_seed0_job330044,bbq_sauce,13,0,train,bbq_sauce_s13_seed0,3,1,53
trace_bbq_sauce_s19_w0_10_s20d_clean_seed0_job330050,bbq_sauce,19,0,train,bbq_sauce_s19_seed0,13,1,180
trace_bbq_sauce_s24_w0_10_s20d_clean_seed0_job330055,bbq_sauce,24,0,train,bbq_sauce_s24_seed0,6,1,53
trace_bbq_sauce_s28_w0_10_s20d_clean_seed0_job330059,bbq_sauce,28,0,train,bbq_sauce_s28_seed0,5,1,86
trace_bbq_sauce_s30_w0_10_s20d_clean_seed0_job330061,bbq_sauce,30,0,train,bbq_sauce_s30_seed0,5,1,86
